instance,endpoint_net,endpoint_layer,top_component_id,witness_path_shape_count,witness_path_via_count,passed
addr_dff_0,VSS,m1,VSS_COMPONENT_0,2,0,True
addr_dff_0,VDD,m1,VDD_COMPONENT_0,2,0,True
addr_dff_1,VSS,m1,VSS_COMPONENT_0,2,0,True
addr_dff_1,VDD,m1,VDD_COMPONENT_0,2,0,True
addr_dff_2,VSS,m1,VSS_COMPONENT_0,2,0,True
addr_dff_2,VDD,m1,VDD_COMPONENT_0,2,0,True
addr_dff_3,VSS,m1,VSS_COMPONENT_0,2,0,True
addr_dff_3,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_0,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_0,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_1,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_1,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_2,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_2,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_3,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_3,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_4,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_4,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_5,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_5,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_6,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_6,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_7,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_7,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_8,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_8,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_9,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_9,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_10,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_10,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_11,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_11,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_12,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_12,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_13,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_13,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_14,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_14,VDD,m1,VDD_COMPONENT_0,2,0,True
data_dff_15,VSS,m1,VSS_COMPONENT_0,2,0,True
data_dff_15,VDD,m1,VDD_COMPONENT_0,2,0,True
clkbuf,VSS,m1,VSS_COMPONENT_0,2,0,True
clkbuf,VDD,m1,VDD_COMPONENT_0,2,0,True
inv_clk_bar,VSS,m1,VSS_COMPONENT_0,2,0,True
inv_clk_bar,VDD,m1,VDD_COMPONENT_0,2,0,True
dff_buf,VSS,m1,VSS_COMPONENT_0,2,0,True
dff_buf,VDD,m1,VDD_COMPONENT_0,2,0,True
dff_buf1,VSS,m1,VSS_COMPONENT_0,2,0,True
dff_buf1,VDD,m1,VDD_COMPONENT_0,2,0,True
and2_gated_clk_bar,VSS,m1,VSS_COMPONENT_0,2,0,True
and2_gated_clk_bar,VDD,m1,VDD_COMPONENT_0,2,0,True
and2_gated_clk_buf,VSS,m1,VSS_COMPONENT_0,2,0,True
and2_gated_clk_buf,VDD,m1,VDD_COMPONENT_0,2,0,True
wl_en,VSS,m1,VSS_COMPONENT_0,2,0,True
wl_en,VDD,m1,VDD_COMPONENT_0,2,0,True
inv_wl_en_bar,VSS,m1,VSS_COMPONENT_0,2,0,True
inv_wl_en_bar,VDD,m1,VDD_COMPONENT_0,2,0,True
delaychain,VSS,m1,VSS_COMPONENT_0,2,0,True
delaychain,VDD,m1,VDD_COMPONENT_0,2,0,True
inv_rbl_delay_bar,VSS,m1,VSS_COMPONENT_0,2,0,True
inv_rbl_delay_bar,VDD,m1,VDD_COMPONENT_0,2,0,True
w_en,VSS,m1,VSS_COMPONENT_0,2,0,True
w_en,VDD,m1,VDD_COMPONENT_0,2,0,True
s_en,VSS,m1,VSS_COMPONENT_0,2,0,True
s_en,VDD,m1,VDD_COMPONENT_0,2,0,True
pre_unbuf,VSS,m1,VSS_COMPONENT_0,2,0,True
pre_unbuf,VDD,m1,VDD_COMPONENT_0,2,0,True
pre,VSS,m1,VSS_COMPONENT_0,2,0,True
pre,VDD,m1,VDD_COMPONENT_0,2,0,True
