layer,net,route_id,bbox,spacing_halo
metal3,A0,A0_1,"[31.53, 4.8125, 31.67, 228.175]",0.14
metal3,A0,A0_1,"[-4.0, 228.105, 31.6, 228.245]",0.14
metal3,A0,A0_1,"[-4.07, 1.5, -3.93, 228.175]",0.14
metal4,A1,A1_1,"[31.53, 14.8125, 31.67, 229.05]",0.14
metal4,A1,A1_1,"[-4.0, 228.98, 31.6, 229.12]",0.14
metal4,A1,A1_1,"[-4.07, 2.5, -3.93, 229.05]",0.14
metal5,A2,A2_1,"[31.53, 24.8125, 31.67, 229.925]",0.14
metal5,A2,A2_1,"[-4.0, 229.855, 31.6, 229.995]",0.14
metal5,A2,A2_1,"[-4.07, 3.5, -3.93, 229.925]",0.14
metal6,A3,A3_1,"[31.53, 34.8125, 31.67, 230.1]",0.14
metal6,A3,A3_1,"[-4.0, 230.03, 31.6, 230.17]",0.14
metal6,A3,A3_1,"[-4.07, 4.5, -3.93, 230.1]",0.14
metal3,A_dff0,A_dff0_1,"[49.645, 5.4425, 49.785, 230.975]",0.14
metal3,A_dff0,A_dff0_1,"[49.715, 230.905, 263.5, 231.045]",0.14
metal3,A_dff0,A_dff0_1,"[263.43, 1.5, 263.57, 230.975]",0.14
metal4,A_dff1,A_dff1_1,"[49.645, 15.4425, 49.785, 231.85]",0.14
metal4,A_dff1,A_dff1_1,"[49.715, 231.78, 263.5, 231.92]",0.14
metal4,A_dff1,A_dff1_1,"[263.43, 2.5, 263.57, 231.85]",0.14
metal5,A_dff2,A_dff2_1,"[49.645, 25.4425, 49.785, 232.725]",0.14
metal5,A_dff2,A_dff2_1,"[49.715, 232.655, 263.5, 232.795]",0.14
metal5,A_dff2,A_dff2_1,"[263.43, 3.5, 263.57, 232.725]",0.14
metal6,A_dff3,A_dff3_1,"[49.645, 35.4425, 49.785, 232.9]",0.14
metal6,A_dff3,A_dff3_1,"[49.715, 232.83, 263.5, 232.97]",0.14
metal6,A_dff3,A_dff3_1,"[263.43, 4.5, 263.57, 232.9]",0.14
metal3,DIN0,DIN0_1,"[31.53, 44.8125, 31.67, 233.775]",0.14
metal3,DIN0,DIN0_1,"[4.0, 233.705, 31.6, 233.845]",0.14
metal3,DIN0,DIN0_1,"[3.93, -3.0, 4.07, 233.775]",0.14
metal4,DIN1,DIN1_1,"[31.53, 54.8125, 31.67, 234.65]",0.14
metal4,DIN1,DIN1_1,"[5.0, 234.58, 31.6, 234.72]",0.14
metal4,DIN1,DIN1_1,"[4.93, -3.0, 5.07, 234.65]",0.14
metal5,DIN10,DIN10_1,"[31.53, 144.8125, 31.67, 235.525]",0.14
metal5,DIN10,DIN10_1,"[14.0, 235.455, 31.6, 235.595]",0.14
metal5,DIN10,DIN10_1,"[13.93, -3.0, 14.07, 235.525]",0.14
metal6,DIN11,DIN11_1,"[31.53, 154.8125, 31.67, 235.7]",0.14
metal6,DIN11,DIN11_1,"[15.0, 235.63, 31.6, 235.77]",0.14
metal6,DIN11,DIN11_1,"[14.93, -3.0, 15.07, 235.7]",0.14
metal3,DIN12,DIN12_1,"[31.53, 164.8125, 31.67, 236.575]",0.14
metal3,DIN12,DIN12_1,"[16.0, 236.505, 31.6, 236.645]",0.14
metal3,DIN12,DIN12_1,"[15.93, -3.0, 16.07, 236.575]",0.14
metal4,DIN13,DIN13_1,"[31.53, 174.8125, 31.67, 237.45]",0.14
metal4,DIN13,DIN13_1,"[17.0, 237.38, 31.6, 237.52]",0.14
metal4,DIN13,DIN13_1,"[16.93, -3.0, 17.07, 237.45]",0.14
metal5,DIN14,DIN14_1,"[31.53, 184.8125, 31.67, 238.325]",0.14
metal5,DIN14,DIN14_1,"[18.0, 238.255, 31.6, 238.395]",0.14
metal5,DIN14,DIN14_1,"[17.93, -3.0, 18.07, 238.325]",0.14
metal6,DIN15,DIN15_1,"[31.53, 194.8125, 31.67, 238.5]",0.14
metal6,DIN15,DIN15_1,"[19.0, 238.43, 31.6, 238.57]",0.14
metal6,DIN15,DIN15_1,"[18.93, -3.0, 19.07, 238.5]",0.14
metal3,DIN2,DIN2_1,"[31.53, 64.8125, 31.67, 239.375]",0.14
metal3,DIN2,DIN2_1,"[6.0, 239.305, 31.6, 239.445]",0.14
metal3,DIN2,DIN2_1,"[5.93, -3.0, 6.07, 239.375]",0.14
metal4,DIN3,DIN3_1,"[31.53, 74.8125, 31.67, 240.25]",0.14
metal4,DIN3,DIN3_1,"[7.0, 240.18, 31.6, 240.32]",0.14
metal4,DIN3,DIN3_1,"[6.93, -3.0, 7.07, 240.25]",0.14
metal5,DIN4,DIN4_1,"[31.53, 84.8125, 31.67, 241.125]",0.14
metal5,DIN4,DIN4_1,"[8.0, 241.055, 31.6, 241.195]",0.14
metal5,DIN4,DIN4_1,"[7.93, -3.0, 8.07, 241.125]",0.14
metal6,DIN5,DIN5_1,"[31.53, 94.8125, 31.67, 241.3]",0.14
metal6,DIN5,DIN5_1,"[9.0, 241.23, 31.6, 241.37]",0.14
metal6,DIN5,DIN5_1,"[8.93, -3.0, 9.07, 241.3]",0.14
metal3,DIN6,DIN6_1,"[31.53, 104.8125, 31.67, 242.175]",0.14
metal3,DIN6,DIN6_1,"[10.0, 242.105, 31.6, 242.245]",0.14
metal3,DIN6,DIN6_1,"[9.93, -3.0, 10.07, 242.175]",0.14
metal4,DIN7,DIN7_1,"[31.53, 114.8125, 31.67, 243.05]",0.14
metal4,DIN7,DIN7_1,"[11.0, 242.98, 31.6, 243.12]",0.14
metal4,DIN7,DIN7_1,"[10.93, -3.0, 11.07, 243.05]",0.14
metal5,DIN8,DIN8_1,"[31.53, 124.8125, 31.67, 243.925]",0.14
metal5,DIN8,DIN8_1,"[12.0, 243.855, 31.6, 243.995]",0.14
metal5,DIN8,DIN8_1,"[11.93, -3.0, 12.07, 243.925]",0.14
metal6,DIN9,DIN9_1,"[31.53, 134.8125, 31.67, 244.1]",0.14
metal6,DIN9,DIN9_1,"[13.0, 244.03, 31.6, 244.17]",0.14
metal6,DIN9,DIN9_1,"[12.93, -3.0, 13.07, 244.1]",0.14
metal3,DIN_dff0,DIN_dff0_1,"[49.645, 45.4425, 49.785, 244.975]",0.14
metal3,DIN_dff0,DIN_dff0_1,"[4.0, 244.905, 49.715, 245.045]",0.14
metal3,DIN_dff0,DIN_dff0_1,"[3.93, 225.0, 4.07, 244.975]",0.14
metal4,DIN_dff1,DIN_dff1_1,"[49.645, 55.4425, 49.785, 245.85]",0.14
metal4,DIN_dff1,DIN_dff1_1,"[5.0, 245.78, 49.715, 245.92]",0.14
metal4,DIN_dff1,DIN_dff1_1,"[4.93, 225.0, 5.07, 245.85]",0.14
metal5,DIN_dff10,DIN_dff10_1,"[49.645, 145.4425, 49.785, 246.725]",0.14
metal5,DIN_dff10,DIN_dff10_1,"[14.0, 246.655, 49.715, 246.795]",0.14
metal5,DIN_dff10,DIN_dff10_1,"[13.93, 225.0, 14.07, 246.725]",0.14
metal6,DIN_dff11,DIN_dff11_1,"[49.645, 155.4425, 49.785, 246.9]",0.14
metal6,DIN_dff11,DIN_dff11_1,"[15.0, 246.83, 49.715, 246.97]",0.14
metal6,DIN_dff11,DIN_dff11_1,"[14.93, 225.0, 15.07, 246.9]",0.14
metal3,DIN_dff12,DIN_dff12_1,"[49.645, 165.4425, 49.785, 247.775]",0.14
metal3,DIN_dff12,DIN_dff12_1,"[16.0, 247.705, 49.715, 247.845]",0.14
metal3,DIN_dff12,DIN_dff12_1,"[15.93, 225.0, 16.07, 247.775]",0.14
metal4,DIN_dff13,DIN_dff13_1,"[49.645, 175.4425, 49.785, 248.65]",0.14
metal4,DIN_dff13,DIN_dff13_1,"[17.0, 248.58, 49.715, 248.72]",0.14
metal4,DIN_dff13,DIN_dff13_1,"[16.93, 225.0, 17.07, 248.65]",0.14
metal5,DIN_dff14,DIN_dff14_1,"[49.645, 185.4425, 49.785, 249.525]",0.14
metal5,DIN_dff14,DIN_dff14_1,"[18.0, 249.455, 49.715, 249.595]",0.14
metal5,DIN_dff14,DIN_dff14_1,"[17.93, 225.0, 18.07, 249.525]",0.14
metal6,DIN_dff15,DIN_dff15_1,"[49.645, 195.4425, 49.785, 249.7]",0.14
metal6,DIN_dff15,DIN_dff15_1,"[19.0, 249.63, 49.715, 249.77]",0.14
metal6,DIN_dff15,DIN_dff15_1,"[18.93, 225.0, 19.07, 249.7]",0.14
metal3,DIN_dff2,DIN_dff2_1,"[49.645, 65.4425, 49.785, 250.575]",0.14
metal3,DIN_dff2,DIN_dff2_1,"[6.0, 250.505, 49.715, 250.645]",0.14
metal3,DIN_dff2,DIN_dff2_1,"[5.93, 225.0, 6.07, 250.575]",0.14
metal4,DIN_dff3,DIN_dff3_1,"[49.645, 75.4425, 49.785, 251.45]",0.14
metal4,DIN_dff3,DIN_dff3_1,"[7.0, 251.38, 49.715, 251.52]",0.14
metal4,DIN_dff3,DIN_dff3_1,"[6.93, 225.0, 7.07, 251.45]",0.14
metal5,DIN_dff4,DIN_dff4_1,"[49.645, 85.4425, 49.785, 252.325]",0.14
metal5,DIN_dff4,DIN_dff4_1,"[8.0, 252.255, 49.715, 252.395]",0.14
metal5,DIN_dff4,DIN_dff4_1,"[7.93, 225.0, 8.07, 252.325]",0.14
metal6,DIN_dff5,DIN_dff5_1,"[49.645, 95.4425, 49.785, 252.5]",0.14
metal6,DIN_dff5,DIN_dff5_1,"[9.0, 252.43, 49.715, 252.57]",0.14
metal6,DIN_dff5,DIN_dff5_1,"[8.93, 225.0, 9.07, 252.5]",0.14
metal3,DIN_dff6,DIN_dff6_1,"[49.645, 105.4425, 49.785, 253.375]",0.14
metal3,DIN_dff6,DIN_dff6_1,"[10.0, 253.305, 49.715, 253.445]",0.14
metal3,DIN_dff6,DIN_dff6_1,"[9.93, 225.0, 10.07, 253.375]",0.14
metal4,DIN_dff7,DIN_dff7_1,"[49.645, 115.4425, 49.785, 254.25]",0.14
metal4,DIN_dff7,DIN_dff7_1,"[11.0, 254.18, 49.715, 254.32]",0.14
metal4,DIN_dff7,DIN_dff7_1,"[10.93, 225.0, 11.07, 254.25]",0.14
metal5,DIN_dff8,DIN_dff8_1,"[49.645, 125.4425, 49.785, 255.125]",0.14
metal5,DIN_dff8,DIN_dff8_1,"[12.0, 255.055, 49.715, 255.195]",0.14
metal5,DIN_dff8,DIN_dff8_1,"[11.93, 225.0, 12.07, 255.125]",0.14
metal6,DIN_dff9,DIN_dff9_1,"[49.645, 135.4425, 49.785, 255.3]",0.14
metal6,DIN_dff9,DIN_dff9_1,"[13.0, 255.23, 49.715, 255.37]",0.14
metal6,DIN_dff9,DIN_dff9_1,"[12.93, 225.0, 13.07, 255.3]",0.14
metal3,PRE,PRE_1,"[228.685, 5.875, 228.825, 256.175]",0.14
metal3,PRE,PRE_1,"[228.755, 256.105, 263.5, 256.245]",0.14
metal3,PRE,PRE_1,"[263.43, 44.4, 263.57, 256.175]",0.14
metal4,PRE_UNBUF,PRE_UNBUF_1,"[200.385, 6.4275, 200.525, 257.05]",0.14
metal4,PRE_UNBUF,PRE_UNBUF_1,"[200.455, 256.98, 227.695, 257.12]",0.14
metal4,PRE_UNBUF,PRE_UNBUF_1,"[227.625, 5.8975, 227.765, 257.05]",0.14
metal5,clk,clk_1,"[3.625, 0.8975, 3.765, 257.925]",0.14
metal5,clk,clk_1,"[-4.0, 257.855, 3.695, 257.995]",0.14
metal5,clk,clk_1,"[-4.07, 44.4, -3.93, 257.925]",0.14
metal6,clk_bar,clk_bar_1,"[143.8575, 0.8975, 143.9975, 258.1]",0.14
metal6,clk_bar,clk_bar_1,"[60.0025, 258.03, 143.9275, 258.17]",0.14
metal6,clk_bar,clk_bar_1,"[59.9325, 0.74, 60.0725, 258.1]",0.14
metal3,clk_buf,clk_buf_1,"[48.945, 4.6025, 49.085, 258.975]",0.14
metal3,clk_buf,clk_buf_1,"[48.945, 258.905, 49.085, 259.045]",0.14
metal3,clk_buf,clk_buf_1,"[48.945, 14.6025, 49.085, 258.975]",0.14
metal4,clk_buf,clk_buf_2,"[48.945, 4.6025, 49.085, 259.15]",0.14
metal4,clk_buf,clk_buf_2,"[48.945, 259.08, 49.085, 259.22]",0.14
metal4,clk_buf,clk_buf_2,"[48.945, 24.6025, 49.085, 259.15]",0.14
metal5,clk_buf,clk_buf_3,"[48.945, 4.6025, 49.085, 259.325]",0.14
metal5,clk_buf,clk_buf_3,"[48.945, 259.255, 49.085, 259.395]",0.14
metal5,clk_buf,clk_buf_3,"[48.945, 34.6025, 49.085, 259.325]",0.14
metal6,clk_buf,clk_buf_4,"[48.945, 4.6025, 49.085, 258.8]",0.14
metal6,clk_buf,clk_buf_4,"[48.945, 258.73, 49.085, 258.87]",0.14
metal6,clk_buf,clk_buf_4,"[48.945, 44.6025, 49.085, 258.8]",0.14
metal3,clk_buf,clk_buf_5,"[48.945, 4.6025, 49.085, 258.975]",0.14
metal3,clk_buf,clk_buf_5,"[48.945, 258.905, 49.085, 259.045]",0.14
metal3,clk_buf,clk_buf_5,"[48.945, 54.6025, 49.085, 258.975]",0.14
metal4,clk_buf,clk_buf_6,"[48.945, 4.6025, 49.085, 259.15]",0.14
metal4,clk_buf,clk_buf_6,"[48.945, 259.08, 49.085, 259.22]",0.14
metal4,clk_buf,clk_buf_6,"[48.945, 64.6025, 49.085, 259.15]",0.14
metal5,clk_buf,clk_buf_7,"[48.945, 4.6025, 49.085, 259.325]",0.14
metal5,clk_buf,clk_buf_7,"[48.945, 259.255, 49.085, 259.395]",0.14
metal5,clk_buf,clk_buf_7,"[48.945, 74.6025, 49.085, 259.325]",0.14
