module,instance,bit_index,required_by_config,required_by_current_netlist,authority
precharge,precharge_0,0,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_1,1,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_2,2,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_3,3,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_4,4,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_5,5,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_6,6,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_7,7,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_8,8,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_9,9,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_10,10,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_11,11,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_12,12,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_13,13,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_14,14,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
precharge,precharge_15,15,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_0,0,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_1,1,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_2,2,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_3,3,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_4,4,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_5,5,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_6,6,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_7,7,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_8,8,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_9,9,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_10,10,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_11,11,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_12,12,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_13,13,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_14,14,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
sense_amplifier,sense_amplifier_15,15,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_0,0,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_1,1,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_2,2,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_3,3,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_4,4,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_5,5,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_6,6,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_7,7,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_8,8,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_9,9,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_10,10,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_11,11,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_12,12,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_13,13,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_14,14,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
write_driver,write_driver_15,15,True,True,CURRENT_SOURCE_EXACT_16x16_WPR1
