instance,bit_index,unit_top,x,y,orientation,source_gds,source_sha
precharge_0,0,gen_precharge,0.0,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_1,1,gen_precharge,0.9125,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_2,2,gen_precharge,1.825,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_3,3,gen_precharge,2.7375,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_4,4,gen_precharge,3.65,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_5,5,gen_precharge,4.5625,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_6,6,gen_precharge,5.475,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_7,7,gen_precharge,6.3875,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_8,8,gen_precharge,7.3,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_9,9,gen_precharge,8.2125,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_10,10,gen_precharge,9.125,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_11,11,gen_precharge,10.0375,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_12,12,gen_precharge,10.95,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_13,13,gen_precharge,11.8625,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_14,14,gen_precharge,12.775,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_15,15,gen_precharge,13.6875,0.05,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
