instance,bit_index,unit_top,x,y,orientation,source_gds,source_sha
sense_amp_0,0,sense_amp,0.035,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_1,1,sense_amp,1.01,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_2,2,sense_amp,1.985,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_3,3,sense_amp,2.96,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_4,4,sense_amp,3.935,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_5,5,sense_amp,4.91,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_6,6,sense_amp,5.885,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_7,7,sense_amp,6.86,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_8,8,sense_amp,7.835,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_9,9,sense_amp,8.81,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_10,10,sense_amp,9.785,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_11,11,sense_amp,10.76,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_12,12,sense_amp,11.735,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_13,13,sense_amp,12.71,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_14,14,sense_amp,13.685,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_15,15,sense_amp,14.66,-0.0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
