instance,bit_index,unit_top,x,y,orientation,source_gds,source_sha
write_driver_0,0,write_driver,0.1,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_1,1,write_driver,1.14,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_2,2,write_driver,2.18,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_3,3,write_driver,3.22,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_4,4,write_driver,4.26,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_5,5,write_driver,5.3,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_6,6,write_driver,6.34,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_7,7,write_driver,7.38,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_8,8,write_driver,8.42,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_9,9,write_driver,9.46,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_10,10,write_driver,10.5,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_11,11,write_driver,11.54,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_12,12,write_driver,12.58,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_13,13,write_driver,13.62,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_14,14,write_driver,14.66,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_15,15,write_driver,15.7,-0.0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
