bank,architecture,selected,status,rows,width,height,area,max_alignment_error,rms_alignment_error,drc
precharge,single_row,False,PASS_PRECHARGE_SINGLE_ROW_V2_BANK_GATE,1,14.4,1.39,20.016,1.66,0.9594,0
precharge,even_odd_2row,True,PASS_PRECHARGE_EVEN_ODD_2ROW_V2_BANK_GATE,2,11.2875,4.78,53.9543,0.09,0.0636,0
precharge,folded_4row,False,PASS_PRECHARGE_FOLDED_4ROW_V2_BANK_GATE,4,9.1725,11.56,106.0341,1.41,0.8473,0
precharge,pin_aligned_staggered,False,PASS_PRECHARGE_PIN_ALIGNED_STAGGERED_V2_BANK_GATE,2,11.2875,4.78,53.9543,0.09,0.0636,0
sense_amp,single_row,False,PASS_SENSE_AMP_SINGLE_ROW_V2_BANK_GATE,1,15.4,6.01,92.554,2.16,1.2517,0
sense_amp,even_odd_2row,True,PASS_SENSE_AMP_EVEN_ODD_2ROW_V2_BANK_GATE,2,11.35,14.02,159.127,0.005,0.0035,0
sense_amp,folded_4row,False,PASS_SENSE_AMP_FOLDED_4ROW_V2_BANK_GATE,4,9.235,30.04,277.4194,1.41,0.8624,0
sense_amp,pin_aligned_staggered,False,PASS_SENSE_AMP_PIN_ALIGNED_STAGGERED_V2_BANK_GATE,2,11.35,14.02,159.127,0.005,0.0035,0
write_driver,single_row,False,PASS_WRITE_DRIVER_SINGLE_ROW_V2_BANK_GATE,1,16.44,4.175,68.637,2.68,1.5531,0
write_driver,even_odd_2row,True,PASS_WRITE_DRIVER_EVEN_ODD_2ROW_V2_BANK_GATE,2,11.415,10.35,118.1452,0.005,0.0035,0
write_driver,folded_4row,False,PASS_WRITE_DRIVER_FOLDED_4ROW_V2_BANK_GATE,4,9.3,22.7,211.11,1.41,0.8624,0
write_driver,pin_aligned_staggered,False,PASS_WRITE_DRIVER_PIN_ALIGNED_STAGGERED_V2_BANK_GATE,2,11.415,10.35,118.1452,0.005,0.0035,0
