bank,architecture,bit,pin,array_x,array_y,bank_x,bank_y,translated_bank_x,x_translation,delta_x,delta_y,manhattan,required_layer_transition,required_fanout_track
precharge,single_row,0,BL,2.53,13.2075,0.14,0.72,0.9875,0.8475,-1.5425,-12.4875,14.03,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,0,BR,2.865,13.2075,0.565,0.72,1.4125,0.8475,-1.4525,-12.4875,13.94,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,1,BL,3.235,13.2075,1.0525,0.72,1.9,0.8475,-1.335,-12.4875,13.8225,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,1,BR,3.57,13.2075,1.4775,0.72,2.325,0.8475,-1.245,-12.4875,13.7325,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,2,BL,3.94,13.2075,1.965,0.72,2.8125,0.8475,-1.1275,-12.4875,13.615,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,2,BR,4.275,13.2075,2.39,0.72,3.2375,0.8475,-1.0375,-12.4875,13.525,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,3,BL,4.645,13.2075,2.8775,0.72,3.725,0.8475,-0.92,-12.4875,13.4075,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,3,BR,4.98,13.2075,3.3025,0.72,4.15,0.8475,-0.83,-12.4875,13.3175,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,4,BL,5.35,13.2075,3.79,0.72,4.6375,0.8475,-0.7125,-12.4875,13.2,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,4,BR,5.685,13.2075,4.215,0.72,5.0625,0.8475,-0.6225,-12.4875,13.11,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,5,BL,6.055,13.2075,4.7025,0.72,5.55,0.8475,-0.505,-12.4875,12.9925,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
