instance,bit_index,x,y,row,orientation,source_gds,source_sha
precharge_0,0,0.0,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_1,1,0.9125,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_2,2,1.825,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_3,3,2.7375,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_4,4,3.65,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_5,5,4.5625,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_6,6,5.475,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_7,7,6.3875,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_8,8,7.3,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_9,9,8.2125,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_10,10,9.125,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_11,11,10.0375,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_12,12,10.95,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_13,13,11.8625,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_14,14,12.775,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
precharge_15,15,13.6875,0.05,0,R0,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,6b6bc14d9b816f729002a026095f57a11ad19d659e2d7b912a902036d2464c8b
