instance,bit_index,x,y,row,orientation,source_gds,source_sha
sense_amp_0,0,0.035,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_1,1,0.035,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_2,2,0.035,16.02,2,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_3,3,0.035,24.03,3,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_4,4,2.855,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_5,5,2.855,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_6,6,2.855,16.02,2,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_7,7,2.855,24.03,3,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_8,8,5.675,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_9,9,5.675,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_10,10,5.675,16.02,2,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_11,11,5.675,24.03,3,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_12,12,8.495,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_13,13,8.495,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_14,14,8.495,16.02,2,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_15,15,8.495,24.03,3,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
