instance,bit_index,x,y,row,orientation,source_gds,source_sha
sense_amp_0,0,0.035,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_1,1,1.01,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_2,2,1.985,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_3,3,2.96,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_4,4,3.935,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_5,5,4.91,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_6,6,5.885,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_7,7,6.86,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_8,8,7.835,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_9,9,8.81,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_10,10,9.785,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_11,11,10.76,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_12,12,11.735,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_13,13,12.71,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_14,14,13.685,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_15,15,14.66,-0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
