instance,bit_index,x,y,row,orientation,source_gds,source_sha
write_driver_0,0,0.1,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_1,1,0.1,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_2,2,0.1,12.35,2,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_3,3,0.1,18.525,3,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_4,4,2.92,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_5,5,2.92,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_6,6,2.92,12.35,2,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_7,7,2.92,18.525,3,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_8,8,5.74,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_9,9,5.74,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_10,10,5.74,12.35,2,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_11,11,5.74,18.525,3,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_12,12,8.56,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_13,13,8.56,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_14,14,8.56,12.35,2,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_15,15,8.56,18.525,3,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
