instance,bit_index,x,y,row,orientation,source_gds,source_sha
write_driver_0,0,0.1,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_1,1,0.805,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_2,2,1.51,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_3,3,2.215,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_4,4,2.92,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_5,5,3.625,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_6,6,4.33,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_7,7,5.035,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_8,8,5.74,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_9,9,6.445,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_10,10,7.15,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_11,11,7.855,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_12,12,8.56,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_13,13,9.265,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_14,14,9.97,0.0,0,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
write_driver_15,15,10.675,6.175,1,R0,technology/freepdk45/gds_lib/write_driver.gds,946fb2ea978744a6362033b967076c810e0cbf73c2f3d0a89b98745c0eb1682c
