M1,M2,M3,VIA1,VIA2,access_id,alternative_local_route,can_collapse,contact,net,terminal,why_required
True,False,False,False,False,6,same-row duplicate terminals now share one row trunk handoff where legal,False,True,VDD,contact,body tie contact
True,False,False,False,False,11,same-row duplicate terminals now share one row trunk handoff where legal,False,True,VSS,contact,body tie contact
True,False,False,False,False,33,same-row duplicate terminals now share one row trunk handoff where legal,False,True,z5,contact,gate poly contact
True,True,False,True,False,35,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z5,via1,gate M1-to-M2
False,True,True,False,True,39,same-row duplicate terminals now share one row trunk handoff where legal,True,False,z5,via2,deduplicated row trunk access
True,False,False,False,False,43,same-row duplicate terminals now share one row trunk handoff where legal,False,True,Q,contact,gate poly contact
True,True,False,True,False,45,same-row duplicate terminals now share one row trunk handoff where legal,False,False,Q,via1,gate M1-to-M2
False,True,True,False,True,49,same-row duplicate terminals now share one row trunk handoff where legal,True,False,Q,via2,deduplicated row trunk access
True,False,False,False,False,53,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLK,contact,gate poly contact
True,True,False,True,False,55,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLK,via1,gate M1-to-M2
False,True,True,False,True,59,same-row duplicate terminals now share one row trunk handoff where legal,True,False,CLK,via2,deduplicated row trunk access
True,False,False,False,False,63,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLKB,contact,gate poly contact
True,True,False,True,False,65,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLKB,via1,gate M1-to-M2
False,True,True,False,True,69,same-row duplicate terminals now share one row trunk handoff where legal,True,False,CLKB,via2,deduplicated row trunk access
True,False,False,False,False,73,same-row duplicate terminals now share one row trunk handoff where legal,False,True,z2,contact,gate poly contact
True,True,False,True,False,75,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z2,via1,gate M1-to-M2
False,True,True,False,True,79,same-row duplicate terminals now share one row trunk handoff where legal,True,False,z2,via2,deduplicated row trunk access
True,False,False,False,False,83,same-row duplicate terminals now share one row trunk handoff where legal,False,True,z2,contact,gate poly contact
True,True,False,True,False,85,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z2,via1,gate M1-to-M2
True,False,False,False,False,91,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLKB,contact,gate poly contact
True,True,False,True,False,93,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLKB,via1,gate M1-to-M2
True,False,False,False,False,99,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLK,contact,gate poly contact
True,True,False,True,False,101,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLK,via1,gate M1-to-M2
True,False,False,False,False,107,same-row duplicate terminals now share one row trunk handoff where legal,False,True,D,contact,gate poly contact
True,True,False,True,False,109,same-row duplicate terminals now share one row trunk handoff where legal,False,False,D,via1,gate M1-to-M2
False,True,True,False,True,113,same-row duplicate terminals now share one row trunk handoff where legal,True,False,D,via2,deduplicated row trunk access
True,False,False,False,False,117,same-row duplicate terminals now share one row trunk handoff where legal,False,True,z1,contact,gate poly contact
True,True,False,True,False,119,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z1,via1,gate M1-to-M2
False,True,True,False,True,123,same-row duplicate terminals now share one row trunk handoff where legal,True,False,z1,via2,deduplicated row trunk access
True,False,False,False,False,127,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLK,contact,gate poly contact
True,True,False,True,False,129,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLK,via1,gate M1-to-M2
True,False,False,False,False,135,same-row duplicate terminals now share one row trunk handoff where legal,False,True,z5,contact,gate poly contact
True,True,False,True,False,137,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z5,via1,gate M1-to-M2
False,True,True,False,True,141,same-row duplicate terminals now share one row trunk handoff where legal,True,False,z5,via2,deduplicated row trunk access
True,False,False,False,False,145,same-row duplicate terminals now share one row trunk handoff where legal,False,True,Q,contact,gate poly contact
True,True,False,True,False,147,same-row duplicate terminals now share one row trunk handoff where legal,False,False,Q,via1,gate M1-to-M2
False,True,True,False,True,151,same-row duplicate terminals now share one row trunk handoff where legal,True,False,Q,via2,deduplicated row trunk access
True,False,False,False,False,155,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLKB,contact,gate poly contact
True,True,False,True,False,157,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLKB,via1,gate M1-to-M2
False,True,True,False,True,161,same-row duplicate terminals now share one row trunk handoff where legal,True,False,CLKB,via2,deduplicated row trunk access
True,False,False,False,False,165,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLK,contact,gate poly contact
True,True,False,True,False,167,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLK,via1,gate M1-to-M2
False,True,True,False,True,171,same-row duplicate terminals now share one row trunk handoff where legal,True,False,CLK,via2,deduplicated row trunk access
