kind,layer,length,net,reason,resource_id,waste_class,x0,x1,y0,y1
m2_gate_bridge,13,4.4725,z5,local M2 gate bridge,36,REQUIRED_CONNECTIVITY,0.4025,4.875,3.875,3.945
m2_pad,13,0.135,z5,via1 enclosure,37,REQUIRED_CONNECTIVITY,0.37,0.505,3.8425,3.9775
m2_trunk_landing,13,0.135,z5,trunk landing,38,REQUIRED_CONNECTIVITY,4.7725,4.9075,3.8425,3.9775
via2,14,0.065,z5,deduplicated row trunk access,39,REQUIRED_CONNECTIVITY,4.8075,4.8725,3.8775,3.9425
m3_pad,15,0.135,z5,deduplicated row trunk access,40,REQUIRED_CONNECTIVITY,4.7725,4.9075,3.8425,3.9775
m2_gate_bridge,13,3.625,Q,local M2 gate bridge,46,REQUIRED_CONNECTIVITY,0.605,4.23,3.26,3.33
m2_pad,13,0.135,Q,via1 enclosure,47,REQUIRED_CONNECTIVITY,0.5725,0.7075,3.2275,3.3625
m2_trunk_landing,13,0.135,Q,trunk landing,48,REQUIRED_CONNECTIVITY,4.1275,4.2625,3.2275,3.3625
via2,14,0.065,Q,deduplicated row trunk access,49,REQUIRED_CONNECTIVITY,4.1625,4.2275,3.2625,3.3275
m3_pad,15,0.135,Q,deduplicated row trunk access,50,REQUIRED_CONNECTIVITY,4.1275,4.2625,3.2275,3.3625
m2_gate_bridge,13,2.78,CLK,local M2 gate bridge,56,REQUIRED_CONNECTIVITY,0.805,3.585,2.645,2.715
m2_pad,13,0.135,CLK,via1 enclosure,57,REQUIRED_CONNECTIVITY,0.7725,0.9075,2.6125,2.7475
m2_trunk_landing,13,0.135,CLK,trunk landing,58,REQUIRED_CONNECTIVITY,3.4825,3.6175,2.6125,2.7475
via2,14,0.065,CLK,deduplicated row trunk access,59,REQUIRED_CONNECTIVITY,3.5175,3.5825,2.6475,2.7125
m3_pad,15,0.135,CLK,deduplicated row trunk access,60,REQUIRED_CONNECTIVITY,3.4825,3.6175,2.6125,2.7475
m2_gate_bridge,13,2.7925,CLKB,local M2 gate bridge,66,REQUIRED_CONNECTIVITY,1.0075,3.8,2.85,2.92
m2_pad,13,0.135,CLKB,via1 enclosure,67,REQUIRED_CONNECTIVITY,0.975,1.11,2.8175,2.9525
m2_trunk_landing,13,0.135,CLKB,trunk landing,68,REQUIRED_CONNECTIVITY,3.6975,3.8325,2.8175,2.9525
via2,14,0.065,CLKB,deduplicated row trunk access,69,REQUIRED_CONNECTIVITY,3.7325,3.7975,2.8525,2.9175
m3_pad,15,0.135,CLKB,deduplicated row trunk access,70,REQUIRED_CONNECTIVITY,3.6975,3.8325,2.8175,2.9525
m2_gate_bridge,13,3.45,z2,local M2 gate bridge,76,REQUIRED_CONNECTIVITY,1.21,4.66,3.67,3.74
m2_pad,13,0.135,z2,via1 enclosure,77,REQUIRED_CONNECTIVITY,1.1775,1.3125,3.6375,3.7725
m2_trunk_landing,13,0.135,z2,trunk landing,78,REQUIRED_CONNECTIVITY,4.5575,4.6925,3.6375,3.7725
via2,14,0.065,z2,deduplicated row trunk access,79,REQUIRED_CONNECTIVITY,4.5925,4.6575,3.6725,3.7375
m3_pad,15,0.135,z2,deduplicated row trunk access,80,REQUIRED_CONNECTIVITY,4.5575,4.6925,3.6375,3.7725
m2_gate_bridge,13,3.2475,z2,local M2 gate bridge,86,REQUIRED_CONNECTIVITY,1.4125,4.66,3.67,3.74
m2_pad,13,0.135,z2,via1 enclosure,87,REQUIRED_CONNECTIVITY,1.38,1.515,3.6375,3.7725
