accepted,best_cost,move,step,temperature
False,1000.0,swap_clusters,0,1.0
True,588.235294,move_cluster,1,0.5
True,416.666667,mirror_cluster,2,0.333333
False,322.580645,change_row,3,0.25
True,263.157895,change_chain,4,0.2
True,222.222222,move_clock_spine,5,0.166667
False,192.307692,swap_clusters,6,0.142857
True,169.491525,move_cluster,7,0.125
True,151.515152,mirror_cluster,8,0.111111
False,136.986301,change_row,9,0.1
True,125.0,change_chain,10,0.090909
True,114.942529,move_clock_spine,11,0.083333
False,106.382979,swap_clusters,12,0.076923
True,99.009901,move_cluster,13,0.071429
True,92.592593,mirror_cluster,14,0.066667
False,86.956522,change_row,15,0.0625
True,81.967213,change_chain,16,0.058824
True,77.51938,move_clock_spine,17,0.055556
False,73.529412,swap_clusters,18,0.052632
True,69.93007,move_cluster,19,0.05
True,66.666667,mirror_cluster,20,0.047619
False,63.694268,change_row,21,0.045455
True,60.97561,change_chain,22,0.043478
True,58.479532,move_clock_spine,23,0.041667
False,56.179775,swap_clusters,24,0.04
True,54.054054,move_cluster,25,0.038462
True,52.083333,mirror_cluster,26,0.037037
False,50.251256,change_row,27,0.035714
True,48.543689,change_chain,28,0.034483
True,46.948357,move_clock_spine,29,0.033333
False,45.454545,swap_clusters,30,0.032258
True,44.052863,move_cluster,31,0.03125
True,42.735043,mirror_cluster,32,0.030303
False,41.493776,change_row,33,0.029412
True,40.322581,change_chain,34,0.028571
True,39.215686,move_clock_spine,35,0.027778
