instance,legal,orientation,source,type
inv1_clk_MP,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv1_clk_MP,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv1_clk_MP,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv1_clk_MP,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv1_clk_MN,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv1_clk_MN,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv1_clk_MN,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv1_clk_MN,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv2_D_MP,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv2_D_MP,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv2_D_MP,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv2_D_MP,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv2_D_MN,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv2_D_MN,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv2_D_MN,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv2_D_MN,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv3_MP,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv3_MP,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv3_MP,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv3_MP,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv3_MN,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv3_MN,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv3_MN,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv3_MN,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv4_MP,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv4_MP,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv4_MP,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv4_MP,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv4_MN,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv4_MN,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv4_MN,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv4_MN,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv5_MP,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv5_MP,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv5_MP,True,MY,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv5_MP,True,R180,FreePDK45_rectilinear_MOS_template_pin_transform,PMOS
inv5_MN,True,R0,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
inv5_MN,True,MX,FreePDK45_rectilinear_MOS_template_pin_transform,NMOS
