actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
12.1932,3.18,6.12,0,CLK,11.29,6,0
12.3525,3.53,6.12,0,CLKB,11.4375,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
2.3706,1.205,0.68,0,D_b,2.195,4,0
2.3328,1.205,0.4775,0,Q,2.16,4,0
2.3706,1.205,0.68,0,QB,2.195,4,0
10.098,2.55,6.12,0,VDD,9.35,7,0
10.098,2.55,6.12,0,VSS,9.35,7,0
6.6987,1.205,3.09,0,z1,6.2025,6,0
5.6241,1.205,2.5175,0,z2,5.2075,6,0
2.3706,1.205,0.68,0,z3,2.195,4,0
2.3706,1.205,0.68,0,z4,2.195,4,0
5.9643,1.205,2.41,0,z5,5.5225,6,0
