actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.5948,3.26,4.0,0,CLK,9.81,6,0
11.8368,3.485,4.0,0,CLKB,10.96,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
3.429,1.285,1.13,0,D_b,3.175,4,0
3.4371,1.285,0.9625,0,Q,3.1825,4,0
3.429,1.285,1.13,0,QB,3.175,4,0
11.4696,2.55,4.76,0,VDD,10.62,7,0
11.4696,2.55,4.76,0,VSS,10.62,7,0
7.9083,3.835,1.6875,0,z1,7.3225,6,0
9.2286,3.61,4.0,0,z2,8.545,6,0
3.429,1.285,1.13,0,z3,3.175,4,0
3.429,1.285,1.13,0,z4,3.175,4,0
7.9083,3.835,1.6875,0,z5,7.3225,6,0
