actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.5948,3.26,4.0,0,CLK,9.81,6,0
11.8368,3.485,4.0,0,CLKB,10.96,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
3.6882,1.285,1.25,0,D_b,3.415,4,0
3.5667,1.285,1.0825,0,Q,3.3025,4,0
3.6882,1.285,1.25,0,QB,3.415,4,0
11.7288,2.55,4.88,0,VDD,10.86,7,0
11.7288,2.55,4.88,0,VSS,10.86,7,0
8.1675,3.835,1.9275,0,z1,7.5625,6,0
9.2286,3.61,4.0,0,z2,8.545,6,0
3.6882,1.285,1.25,0,z3,3.415,4,0
3.6882,1.285,1.25,0,z4,3.415,4,0
8.1675,3.835,1.9275,0,z5,7.5625,6,0
