actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.5624,3.26,5.0,0,CLK,9.78,6,0
10.3923,3.61,5.0,0,CLKB,9.6225,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
3.5586,1.285,1.19,0,D_b,3.295,4,0
7.3197,6.16,0.6175,0,Q,6.7775,4,0
3.5586,1.285,1.19,0,QB,3.295,4,0
15.3576,5.1,5.0,0,VDD,14.22,7,0
15.3576,5.1,5.0,0,VSS,14.22,7,0
10.7595,6.035,2.07,0,z1,9.9625,6,0
9.9225,6.16,2.3175,0,z2,9.1875,6,0
3.5586,1.285,1.19,0,z3,3.295,4,0
3.5586,1.285,1.19,0,z4,3.295,4,0
10.5921,6.035,1.97,0,z5,9.8075,6,0
