actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
15.822,5.81,4.08,0,CLK,14.65,6,0
16.9722,5.81,4.08,0,CLKB,15.715,6,0
0.7668,0.71,0.0,0,D,0.71,2,0
2.457,1.285,0.68,0,D_b,2.275,4,0
2.4192,1.285,0.4775,0,Q,2.24,4,0
8.0298,6.385,1.05,0,QB,7.435,4,0
9.3636,2.55,5.44,0,VDD,8.67,7,0
9.3636,2.55,5.44,0,VSS,8.67,7,0
9.0612,6.385,1.05,0,z1,8.39,6,0
5.1165,1.285,1.8375,0,z2,4.7375,6,0
8.7642,6.385,1.73,0,z3,8.115,4,0
2.457,1.285,0.68,0,z4,2.275,4,0
9.0612,6.385,1.05,0,z5,8.39,6,0
