actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
14.7636,5.89,4.18,0,CLK,13.67,6,0
16.4349,5.89,4.18,0,CLKB,15.2175,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
2.8458,1.365,0.82,0,D_b,2.635,4,0
2.808,1.365,0.6175,0,Q,2.6,4,0
8.2674,6.465,1.19,0,QB,7.655,4,0
9.1476,2.55,5.82,0,VDD,8.47,7,0
9.1476,2.55,5.82,0,VSS,8.47,7,0
9.7956,6.465,1.25,0,z1,9.07,6,0
4.6116,1.365,1.4975,0,z2,4.27,6,0
8.2674,6.465,1.19,0,z3,7.655,4,0
2.8458,1.365,0.82,0,z4,2.635,4,0
9.4716,6.465,1.15,0,z5,8.77,6,0
