active_component_id,claimed_shared_pair_pass,instance_a,instance_b,mos_type,same_continuous_active_component,shared_source_drain_net
PMOS_trail_0,True,inv7_MP,tg4_MP,PMOS,True,QB
PMOS_trail_0,True,tg4_MP,tg3_MP,PMOS,True,z5
PMOS_trail_0,True,tg3_MP,inv5_MP,PMOS,True,z4
PMOS_trail_1,True,inv3_MP,inv4_MP,PMOS,True,VDD
PMOS_trail_1,True,inv4_MP,tg2_MP,PMOS,True,z3
PMOS_trail_1,True,tg2_MP,tg1_MP,PMOS,True,z1
PMOS_trail_1,True,tg1_MP,inv2_D_MP,PMOS,True,D_b
PMOS_trail_1,True,inv2_D_MP,inv6_MP,PMOS,True,VDD
NMOS_trail_0,True,inv7_MN,tg4_MN,NMOS,True,QB
NMOS_trail_0,True,tg4_MN,tg3_MN,NMOS,True,z5
NMOS_trail_0,True,tg3_MN,inv5_MN,NMOS,True,z4
NMOS_trail_0,True,inv5_MN,inv6_MN,NMOS,True,VSS
NMOS_trail_1,True,inv3_MN,inv4_MN,NMOS,True,VSS
NMOS_trail_1,True,inv4_MN,tg2_MN,NMOS,True,z3
NMOS_trail_1,True,tg2_MN,tg1_MN,NMOS,True,z1
NMOS_trail_1,True,tg1_MN,inv2_D_MN,NMOS,True,D_b
