active_island,adjacent_mos_devices,alternative_contact_positions_considered,contact_coordinate,contact_count,local_only_or_routed,net,reason_contact_is_required
PMOS_trail_0,inv6_MP|inv7_MP,left/center/right local sweep,see GDS,1,rail,VDD,routing/pin access for shared diffusion node
PMOS_trail_0,inv7_MP|tg4_MP,left/center/right local sweep,see GDS,1,routed,QB,routing/pin access for shared diffusion node
PMOS_trail_0,tg4_MP|tg3_MP,left/center/right local sweep,see GDS,1,routed,z5,routing/pin access for shared diffusion node
PMOS_trail_0,tg3_MP|inv5_MP,left/center/right local sweep,see GDS,1,routed,z4,routing/pin access for shared diffusion node
PMOS_trail_0,inv5_MP|inv4_MP,left/center/right local sweep,see GDS,1,rail,VDD,routing/pin access for shared diffusion node
PMOS_trail_0,inv4_MP|tg2_MP,left/center/right local sweep,see GDS,1,routed,z3,routing/pin access for shared diffusion node
PMOS_trail_0,tg2_MP|tg1_MP,left/center/right local sweep,see GDS,1,routed,z1,routing/pin access for shared diffusion node
PMOS_trail_0,tg1_MP|inv2_D_MP,left/center/right local sweep,see GDS,1,routed,D_b,routing/pin access for shared diffusion node
PMOS_trail_0,inv2_D_MP|inv3_MP,left/center/right local sweep,see GDS,1,rail,VDD,routing/pin access for shared diffusion node
NMOS_trail_0,inv6_MN|inv7_MN,left/center/right local sweep,see GDS,1,rail,VSS,routing/pin access for shared diffusion node
NMOS_trail_0,inv7_MN|tg4_MN,left/center/right local sweep,see GDS,1,routed,QB,routing/pin access for shared diffusion node
NMOS_trail_0,tg4_MN|tg3_MN,left/center/right local sweep,see GDS,1,routed,z5,routing/pin access for shared diffusion node
NMOS_trail_0,tg3_MN|inv5_MN,left/center/right local sweep,see GDS,1,routed,z4,routing/pin access for shared diffusion node
NMOS_trail_0,inv5_MN|inv4_MN,left/center/right local sweep,see GDS,1,rail,VSS,routing/pin access for shared diffusion node
NMOS_trail_0,inv4_MN|tg2_MN,left/center/right local sweep,see GDS,1,routed,z3,routing/pin access for shared diffusion node
NMOS_trail_0,tg2_MN|tg1_MN,left/center/right local sweep,see GDS,1,routed,z1,routing/pin access for shared diffusion node
NMOS_trail_0,tg1_MN|inv2_D_MN,left/center/right local sweep,see GDS,1,routed,D_b,routing/pin access for shared diffusion node
NMOS_trail_0,inv2_D_MN|inv3_MN,left/center/right local sweep,see GDS,1,rail,VSS,routing/pin access for shared diffusion node
