area_after,candidate,drc_count_after,iteration,repair,root_cause,rule
8.991,DFF_TOPO_SHARED_00_0_TRAIL,18,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
9.342,DFF_TOPO_SHARED_00_1_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
9.5175,DFF_TOPO_SHARED_00_2_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
9.6795,DFF_TOPO_SHARED_00_3_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.017,DFF_TOPO_SHARED_00_4_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
9.207,DFF_TOPO_SHARED_00_5_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
9.1368,DFF_TOPO_SHARED_00_6_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
9.1017,DFF_TOPO_SHARED_00_7_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
8.667,DFF_TOPO_SHARED_00_8_TRAIL,36,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
8.343,DFF_TOPO_SHARED_00_9_TRAIL,36,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.233,DFF_TOPO_SHARED_01_0_TRAIL,16,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.611,DFF_TOPO_SHARED_01_1_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.8,DFF_TOPO_SHARED_01_2_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.962,DFF_TOPO_SHARED_01_3_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.233,DFF_TOPO_SHARED_02_0_TRAIL,16,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.611,DFF_TOPO_SHARED_02_1_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.8,DFF_TOPO_SHARED_02_2_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.962,DFF_TOPO_SHARED_02_3_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.233,DFF_TOPO_SHARED_03_0_TRAIL,17,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.611,DFF_TOPO_SHARED_03_1_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.8,DFF_TOPO_SHARED_03_2_TRAIL,9,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.962,DFF_TOPO_SHARED_03_3_TRAIL,9,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.233,DFF_TOPO_SHARED_04_0_TRAIL,17,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.611,DFF_TOPO_SHARED_04_1_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.8,DFF_TOPO_SHARED_04_2_TRAIL,12,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.962,DFF_TOPO_SHARED_04_3_TRAIL,12,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.233,DFF_TOPO_SHARED_05_0_TRAIL,18,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.611,DFF_TOPO_SHARED_05_1_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.8,DFF_TOPO_SHARED_05_2_TRAIL,3,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.962,DFF_TOPO_SHARED_05_3_TRAIL,3,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.962,DFF_TOPO_SHARED_06_0_TRAIL,3,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
11.313,DFF_TOPO_SHARED_06_1_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.503,DFF_TOPO_SHARED_06_2_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.962,DFF_TOPO_SHARED_07_0_TRAIL,6,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
11.313,DFF_TOPO_SHARED_07_1_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.503,DFF_TOPO_SHARED_07_2_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.962,DFF_TOPO_SHARED_08_0_TRAIL,6,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
11.313,DFF_TOPO_SHARED_08_1_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
10.503,DFF_TOPO_SHARED_08_2_TRAIL,0,0,gate_pitch/contact_pad/route_track local sweep,see candidate lyrdb,full FreePDK45 DRC
