area,candidate,drc_marker_count,feedback_action,nmos_islands,pmos_islands
8.991,DFF_TOPO_SHARED_00_0_TRAIL,18,local FEOL pitch/contact pad/routing track sweep,2,2
9.342,DFF_TOPO_SHARED_00_1_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,2
9.5175,DFF_TOPO_SHARED_00_2_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,2
9.6795,DFF_TOPO_SHARED_00_3_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,2
10.017,DFF_TOPO_SHARED_00_4_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,2
9.207,DFF_TOPO_SHARED_00_5_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,2
9.1368,DFF_TOPO_SHARED_00_6_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,2
9.1017,DFF_TOPO_SHARED_00_7_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,2
8.667,DFF_TOPO_SHARED_00_8_TRAIL,36,local FEOL pitch/contact pad/routing track sweep,2,2
8.343,DFF_TOPO_SHARED_00_9_TRAIL,36,local FEOL pitch/contact pad/routing track sweep,2,2
10.233,DFF_TOPO_SHARED_01_0_TRAIL,16,local FEOL pitch/contact pad/routing track sweep,3,3
10.611,DFF_TOPO_SHARED_01_1_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
10.8,DFF_TOPO_SHARED_01_2_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
10.962,DFF_TOPO_SHARED_01_3_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
10.233,DFF_TOPO_SHARED_02_0_TRAIL,16,local FEOL pitch/contact pad/routing track sweep,3,3
10.611,DFF_TOPO_SHARED_02_1_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
10.8,DFF_TOPO_SHARED_02_2_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
10.962,DFF_TOPO_SHARED_02_3_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
10.233,DFF_TOPO_SHARED_03_0_TRAIL,17,local FEOL pitch/contact pad/routing track sweep,2,3
10.611,DFF_TOPO_SHARED_03_1_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,3
10.8,DFF_TOPO_SHARED_03_2_TRAIL,9,local FEOL pitch/contact pad/routing track sweep,2,3
10.962,DFF_TOPO_SHARED_03_3_TRAIL,9,local FEOL pitch/contact pad/routing track sweep,2,3
10.233,DFF_TOPO_SHARED_04_0_TRAIL,17,local FEOL pitch/contact pad/routing track sweep,3,2
10.611,DFF_TOPO_SHARED_04_1_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,2
10.8,DFF_TOPO_SHARED_04_2_TRAIL,12,local FEOL pitch/contact pad/routing track sweep,3,2
10.962,DFF_TOPO_SHARED_04_3_TRAIL,12,local FEOL pitch/contact pad/routing track sweep,3,2
10.233,DFF_TOPO_SHARED_05_0_TRAIL,18,local FEOL pitch/contact pad/routing track sweep,3,2
10.611,DFF_TOPO_SHARED_05_1_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,2
10.8,DFF_TOPO_SHARED_05_2_TRAIL,3,local FEOL pitch/contact pad/routing track sweep,3,2
10.962,DFF_TOPO_SHARED_05_3_TRAIL,3,local FEOL pitch/contact pad/routing track sweep,3,2
10.962,DFF_TOPO_SHARED_06_0_TRAIL,3,local FEOL pitch/contact pad/routing track sweep,2,3
11.313,DFF_TOPO_SHARED_06_1_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,3
10.503,DFF_TOPO_SHARED_06_2_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,2,3
10.962,DFF_TOPO_SHARED_07_0_TRAIL,6,local FEOL pitch/contact pad/routing track sweep,3,3
11.313,DFF_TOPO_SHARED_07_1_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
10.503,DFF_TOPO_SHARED_07_2_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
10.962,DFF_TOPO_SHARED_08_0_TRAIL,6,local FEOL pitch/contact pad/routing track sweep,3,3
11.313,DFF_TOPO_SHARED_08_1_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
10.503,DFF_TOPO_SHARED_08_2_TRAIL,0,local FEOL pitch/contact pad/routing track sweep,3,3
