candidate,area,aspect_ratio,total_route,clock_route,feedback_route,external_escape,via_count,pareto_status,recommended
DFF_2D_A_SOURCE_BASELINE,84.9,2.358333,135.97,6.185,99.715,7.505,0,NON_DOMINATED,False
DFF_2D_B_MASTER_SLAVE_SIDE_BY_SIDE,77.88,1.005682,180.77,6.185,127.715,13.105,0,DOMINATED,False
DFF_2D_C_MASTER_SLAVE_STACKED,84.1,0.625,219.97,11.785,155.715,7.505,0,NON_DOMINATED,False
DFF_2D_D_CLOCK_CENTERED,106.14,0.788793,219.97,11.785,155.715,7.505,0,DOMINATED,False
DFF_2D_E_FEEDBACK_LOCAL,74.36,0.960227,180.77,6.185,127.715,13.105,0,DOMINATED,False
DFF_2D_F_TWO_ROW_DIFFUSION_CHAIN,58.52,0.755682,180.77,6.185,127.715,13.105,0,NON_DOMINATED,True
DFF_2D_G_FOLDED_MASTER,101.5,0.75431,259.17,6.185,189.315,18.705,0,DOMINATED,False
DFF_2D_H_FOLDED_SLAVE,101.5,0.75431,259.17,6.185,189.315,18.705,0,DOMINATED,False
DFF_2D_I_PIN_ORIENTED,109.15,0.783898,262.37,6.185,191.315,19.105,0,DOMINATED,False
DFF_2D_J_AUTOMATED_PARETO,90.16,0.71875,250.37,6.185,182.915,17.905,0,DOMINATED,False
