candidate,width,height,area,aspect_ratio
DFF_2D_A_SOURCE_BASELINE,14.15,6.0,84.9,2.358333
DFF_2D_B_MASTER_SLAVE_SIDE_BY_SIDE,8.85,8.8,77.88,1.005682
DFF_2D_C_MASTER_SLAVE_STACKED,7.25,11.6,84.1,0.625
DFF_2D_D_CLOCK_CENTERED,9.15,11.6,106.14,0.788793
DFF_2D_E_FEEDBACK_LOCAL,8.45,8.8,74.36,0.960227
DFF_2D_F_TWO_ROW_DIFFUSION_CHAIN,6.65,8.8,58.52,0.755682
DFF_2D_G_FOLDED_MASTER,8.75,11.6,101.5,0.75431
DFF_2D_H_FOLDED_SLAVE,8.75,11.6,101.5,0.75431
DFF_2D_I_PIN_ORIENTED,9.25,11.8,109.15,0.783898
DFF_2D_J_AUTOMATED_PARETO,8.05,11.2,90.16,0.71875
