candidate,total_route,clock_route,feedback_route,external_escape,via_count
DFF_2D_A_SOURCE_BASELINE,135.97,6.185,99.715,7.505,0
DFF_2D_B_MASTER_SLAVE_SIDE_BY_SIDE,180.77,6.185,127.715,13.105,0
DFF_2D_C_MASTER_SLAVE_STACKED,219.97,11.785,155.715,7.505,0
DFF_2D_D_CLOCK_CENTERED,219.97,11.785,155.715,7.505,0
DFF_2D_E_FEEDBACK_LOCAL,180.77,6.185,127.715,13.105,0
DFF_2D_F_TWO_ROW_DIFFUSION_CHAIN,180.77,6.185,127.715,13.105,0
DFF_2D_G_FOLDED_MASTER,259.17,6.185,189.315,18.705,0
DFF_2D_H_FOLDED_SLAVE,259.17,6.185,189.315,18.705,0
DFF_2D_I_PIN_ORIENTED,262.37,6.185,191.315,19.105,0
DFF_2D_J_AUTOMATED_PARETO,250.37,6.185,182.915,17.905,0
