b,d,g,instance,l_nm,model,s,source_file,source_line,type,w_nm
VDD,CLKB,CLK,inv1_clk_MP,50,PMOS_VTG,VDD,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,216,PMOS,500
VSS,CLKB,CLK,inv1_clk_MN,50,NMOS_VTG,VSS,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,216,NMOS,250
VDD,D_b,D,inv2_D_MP,50,PMOS_VTG,VDD,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,220,PMOS,500
VSS,D_b,D,inv2_D_MN,50,NMOS_VTG,VSS,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,220,NMOS,250
VDD,z2,z1,inv3_MP,50,PMOS_VTG,VDD,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,227,PMOS,500
VSS,z2,z1,inv3_MN,50,NMOS_VTG,VSS,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,227,NMOS,250
VDD,z3,z2,inv4_MP,50,PMOS_VTG,VDD,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,231,PMOS,500
VSS,z3,z2,inv4_MN,50,NMOS_VTG,VSS,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,231,NMOS,250
VDD,z4,z2,inv5_MP,50,PMOS_VTG,VDD,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,239,PMOS,500
VSS,z4,z2,inv5_MN,50,NMOS_VTG,VSS,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,239,NMOS,250
VDD,Q,z5,inv6_MP,50,PMOS_VTG,VDD,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,246,PMOS,500
VSS,Q,z5,inv6_MN,50,NMOS_VTG,VSS,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,246,NMOS,250
VDD,QB,Q,inv7_MP,50,PMOS_VTG,VDD,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,250,PMOS,500
VSS,QB,Q,inv7_MN,50,NMOS_VTG,VSS,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,250,NMOS,250
VDD,z1,CLK,tg1_MP,50,PMOS_VTG,D_b,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,223,PMOS,500
VSS,D_b,CLKB,tg1_MN,50,NMOS_VTG,z1,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,223,NMOS,250
VDD,z1,CLKB,tg2_MP,50,PMOS_VTG,z3,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,234,PMOS,500
VSS,z3,CLK,tg2_MN,50,NMOS_VTG,z1,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,234,NMOS,250
VDD,z5,CLKB,tg3_MP,50,PMOS_VTG,z4,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,242,PMOS,500
VSS,z4,CLK,tg3_MN,50,NMOS_VTG,z5,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,242,NMOS,250
VDD,z5,CLK,tg4_MP,50,PMOS_VTG,QB,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,254,PMOS,500
VSS,QB,CLKB,tg4_MN,50,NMOS_VTG,z5,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,254,NMOS,250
