b,d,g,instance,l_nm,model,s,source_file,source_line,type,w_nm
VDD,CLKB,CLK,inv1_clk_MP,50,PMOS_VTG,VDD,canonical_dff_topology_identity.py,216,PMOS,500
VSS,CLKB,CLK,inv1_clk_MN,50,NMOS_VTG,VSS,canonical_dff_topology_identity.py,216,NMOS,250
VDD,D_b,D,inv2_D_MP,50,PMOS_VTG,VDD,canonical_dff_topology_identity.py,220,PMOS,500
VSS,D_b,D,inv2_D_MN,50,NMOS_VTG,VSS,canonical_dff_topology_identity.py,220,NMOS,250
VDD,z1,CLK,tg1_MP,50,PMOS_VTG,D_b,canonical_dff_topology_identity.py,223,PMOS,500
VSS,z1,CLKB,tg1_MN,50,NMOS_VTG,D_b,canonical_dff_topology_identity.py,223,NMOS,250
VDD,z2,z1,inv3_MP,50,PMOS_VTG,VDD,canonical_dff_topology_identity.py,227,PMOS,500
VSS,z2,z1,inv3_MN,50,NMOS_VTG,VSS,canonical_dff_topology_identity.py,227,NMOS,250
VDD,z3,z2,inv4_MP,50,PMOS_VTG,VDD,canonical_dff_topology_identity.py,231,PMOS,500
VSS,z3,z2,inv4_MN,50,NMOS_VTG,VSS,canonical_dff_topology_identity.py,231,NMOS,250
VDD,z1,CLKB,tg2_MP,50,PMOS_VTG,z3,canonical_dff_topology_identity.py,234,PMOS,500
VSS,z1,CLK,tg2_MN,50,NMOS_VTG,z3,canonical_dff_topology_identity.py,234,NMOS,250
VDD,z4,z2,inv5_MP,50,PMOS_VTG,VDD,canonical_dff_topology_identity.py,239,PMOS,500
VSS,z4,z2,inv5_MN,50,NMOS_VTG,VSS,canonical_dff_topology_identity.py,239,NMOS,250
VDD,z5,CLKB,tg3_MP,50,PMOS_VTG,z4,canonical_dff_topology_identity.py,242,PMOS,500
VSS,z5,CLK,tg3_MN,50,NMOS_VTG,z4,canonical_dff_topology_identity.py,242,NMOS,250
VDD,Q,z5,inv6_MP,50,PMOS_VTG,VDD,canonical_dff_topology_identity.py,246,PMOS,500
VSS,Q,z5,inv6_MN,50,NMOS_VTG,VSS,canonical_dff_topology_identity.py,246,NMOS,250
VDD,QB,Q,inv7_MP,50,PMOS_VTG,VDD,canonical_dff_topology_identity.py,250,PMOS,500
VSS,QB,Q,inv7_MN,50,NMOS_VTG,VSS,canonical_dff_topology_identity.py,250,NMOS,250
VDD,z5,CLK,tg4_MP,50,PMOS_VTG,QB,canonical_dff_topology_identity.py,254,PMOS,500
VSS,z5,CLKB,tg4_MN,50,NMOS_VTG,QB,canonical_dff_topology_identity.py,254,NMOS,250
