instance_name,logical_module,x0,y0,x1,y1
inv_a0,PINV,0.0,0.0,0.7975,1.8875
inv_a1,PINV,1.1475,0.0,1.945,1.8875
inv_a2,PINV,2.295,0.0,3.0925,1.8875
and3_pre_0,AND3,3.4425,0.0,5.5975,1.8875
and2_en_0,AND2,5.9475,0.0,7.7575,1.8875
and3_pre_1,AND3,8.1075,0.0,10.2625,1.8875
and2_en_1,AND2,10.6125,0.0,12.4225,1.8875
and3_pre_2,AND3,12.7725,0.0,14.9275,1.8875
and2_en_2,AND2,15.2775,0.0,17.0875,1.8875
and3_pre_3,AND3,17.4375,0.0,19.5925,1.8875
and2_en_3,AND2,19.9425,0.0,21.7525,1.8875
and3_pre_4,AND3,22.1025,0.0,24.2575,1.8875
and2_en_4,AND2,24.6075,0.0,26.4175,1.8875
and3_pre_5,AND3,26.7675,0.0,28.9225,1.8875
and2_en_5,AND2,29.2725,0.0,31.0825,1.8875
and3_pre_6,AND3,31.4325,0.0,33.5875,1.8875
and2_en_6,AND2,33.9375,0.0,35.7475,1.8875
and3_pre_7,AND3,36.0975,0.0,38.2525,1.8875
and2_en_7,AND2,38.6025,0.0,40.4125,1.8875
