field,value,current_freepdk45_source,authority,formal_required_rule_closed
connectable_layers,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
db_unit,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_PARTIAL,True
gate_extension,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
gate_length,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
gate_length_nmos,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
gate_length_pmos,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
grid_offset_x,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
grid_offset_y,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
grid_ys,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
layermap,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/layers.map,SOURCE_BACKED_PARTIAL,True
min_area,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
min_spacing,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
minimum_enclosure,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
minimum_gate_width_nfet,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
minimum_gate_width_pfet,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
minimum_notch,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
minimum_pin_width,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
minimum_width,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
multi_via,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
orientation_change_penalty,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
output_writers,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
pin_layer,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
power_layer,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
power_rail_width,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
routing_grid_pitch_x,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
routing_grid_pitch_y,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
routing_layers,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
transistor_channel_width_sizing,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
transistor_offset_y,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
unit_cell_height,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
unit_cell_width,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
via_layers,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
via_size,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
via_weights,SEE_CURRENT_PROJECT_SOURCE,technology/freepdk45/tech/freepdk45.lydrc,UNKNOWN_RULE_FOR_FORMAL_ADAPTER,False
