field,type,required,LCLayout source,current FreePDK45 source,resolved value,authority
connectable_layers,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
db_unit,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
gate_extension,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/layout/transistor.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
gate_length,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/routing_graph.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
gate_length_nmos,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/layout/transistor.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
gate_length_pmos,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/layout/transistor.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
grid_offset_x,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/routing_graph.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
grid_offset_y,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/router.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
grid_ys,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/router.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
layermap,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/drc_cleaner/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
min_area,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
min_spacing,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/routing_graph.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
minimum_enclosure,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/routing_graph.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
minimum_gate_width_nfet,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
minimum_gate_width_pfet,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
minimum_notch,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
minimum_pin_width,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
minimum_width,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/drc_cleaner/drc_cleaner.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
multi_via,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/routing_graph.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
orientation_change_penalty,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
output_writers,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
pin_layer,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/routing_graph.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
power_layer,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
power_rail_width,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
routing_grid_pitch_x,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/routing_graph.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
routing_grid_pitch_y,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/routing_graph.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
routing_layers,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/routing_graph.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
transistor_channel_width_sizing,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/standalone.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
transistor_offset_y,python attribute,True,/data1/qujh/tool_experiments/lclayout_freepdk45/venv/lib/python3.10/site-packages/lclayout/layout/transistor.py,technology/freepdk45/layers.map or technology/freepdk45/tech/freepdk45.lydrc,SOURCE_BACKED_EXTRACTION_PENDING_FOR_FORMAL_ADAPTER,EXPLORATORY_ONLY
