candidate,gap_um,gds,bbox_width,bbox_height,drc_marker_count,drc_pass
baseline_even_odd_v2,2.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/baseline_even_odd_v2/clean.gds,11.2875,4.78,0,True
precharge_bank_gap_0p0,0.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/precharge_bank_gap_0p0/clean.gds,11.2875,3.44,2543,False
precharge_bank_gap_0p005,0.005,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/precharge_bank_gap_0p005/clean.gds,11.2875,3.44,195,False
precharge_bank_gap_0p05,0.05,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/precharge_bank_gap_0p05/clean.gds,11.2875,3.44,195,False
precharge_bank_gap_0p1,0.1,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/precharge_bank_gap_0p1/clean.gds,11.2875,3.44,2639,False
precharge_bank_gap_0p25,0.25,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/precharge_bank_gap_0p25/clean.gds,11.2875,3.44,2624,False
precharge_bank_gap_0p5,0.5,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/precharge_bank_gap_0p5/clean.gds,11.2875,3.44,180,False
precharge_bank_gap_1p0,1.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/precharge_bank_gap_1p0/clean.gds,11.2875,3.78,2624,False
precharge_bank_gap_1p5,1.5,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/precharge_bank_gap_1p5/clean.gds,11.2875,4.28,2528,False
precharge_bank_gap_2p0,2.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/precharge/precharge_bank_gap_2p0/clean.gds,11.2875,4.78,180,False
