candidate,gap_um,gds,bbox_width,bbox_height,drc_marker_count,drc_pass
baseline_even_odd_v2,2.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/baseline_even_odd_v2/clean.gds,11.35,14.02,0,True
sense_amp_bank_gap_0p0,0.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/sense_amp_bank_gap_0p0/clean.gds,11.35,12.02,9220,False
sense_amp_bank_gap_0p005,0.005,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/sense_amp_bank_gap_0p005/clean.gds,11.35,12.025,597,False
sense_amp_bank_gap_0p05,0.05,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/sense_amp_bank_gap_0p05/clean.gds,11.35,12.07,597,False
sense_amp_bank_gap_0p1,0.1,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/sense_amp_bank_gap_0p1/clean.gds,11.35,12.12,9324,False
sense_amp_bank_gap_0p25,0.25,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/sense_amp_bank_gap_0p25/clean.gds,11.35,12.27,9324,False
sense_amp_bank_gap_0p5,0.5,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/sense_amp_bank_gap_0p5/clean.gds,11.35,12.52,597,False
sense_amp_bank_gap_1p0,1.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/sense_amp_bank_gap_1p0/clean.gds,11.35,13.02,9324,False
sense_amp_bank_gap_1p5,1.5,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/sense_amp_bank_gap_1p5/clean.gds,11.35,13.52,9220,False
sense_amp_bank_gap_2p0,2.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/sense_amp/sense_amp_bank_gap_2p0/clean.gds,11.35,14.02,597,False
