candidate,gap_um,gds,bbox_width,bbox_height,drc_marker_count,drc_pass
baseline_even_odd_v2,2.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/baseline_even_odd_v2/clean.gds,11.415,10.35,0,True
write_driver_bank_gap_0p0,0.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/write_driver_bank_gap_0p0/clean.gds,11.415,8.35,8404,False
write_driver_bank_gap_0p005,0.005,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/write_driver_bank_gap_0p005/clean.gds,11.415,8.355,8412,False
write_driver_bank_gap_0p05,0.05,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/write_driver_bank_gap_0p05/clean.gds,11.415,8.4,8412,False
write_driver_bank_gap_0p1,0.1,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/write_driver_bank_gap_0p1/clean.gds,11.415,8.45,539,False
write_driver_bank_gap_0p25,0.25,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/write_driver_bank_gap_0p25/clean.gds,11.415,8.6,539,False
write_driver_bank_gap_0p5,0.5,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/write_driver_bank_gap_0p5/clean.gds,11.415,8.85,8412,False
write_driver_bank_gap_1p0,1.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/write_driver_bank_gap_1p0/clean.gds,11.415,9.35,539,False
write_driver_bank_gap_1p5,1.5,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/write_driver_bank_gap_1p5/clean.gds,11.415,9.85,8404,False
write_driver_bank_gap_2p0,2.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/PERIPHERY/write_driver/write_driver_bank_gap_2p0/clean.gds,11.415,10.35,8412,False
