candidate,route,gap_um,gds,bbox_width,bbox_height,height_le_array_row_pitch,drc_marker_count,drc_pass,formal_replacement_allowed,notes
WLA_existing_child_routed_baseline,existing-child routed baseline,0.35,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_existing_child_routed_baseline/clean.gds,2.16,1.8875,False,0,True,True,Current fully routed exact-topology WL driver; no compaction applied.
WLA_gap_sweep_0p0,existing-child placement-only gap sweep,0.0,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p0/clean.gds,1.81,1.8875,False,294,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p005,existing-child placement-only gap sweep,0.005,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p005/clean.gds,1.815,1.8875,False,300,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p035,existing-child placement-only gap sweep,0.035,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p035/clean.gds,1.845,1.8875,False,300,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p07,existing-child placement-only gap sweep,0.07,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p07/clean.gds,1.88,1.8875,False,303,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p105,existing-child placement-only gap sweep,0.105,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p105/clean.gds,1.915,1.8875,False,303,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p14,existing-child placement-only gap sweep,0.14,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p14/clean.gds,1.95,1.8875,False,300,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p175,existing-child placement-only gap sweep,0.175,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p175/clean.gds,1.985,1.8875,False,303,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p21,existing-child placement-only gap sweep,0.21,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p21/clean.gds,2.02,1.8875,False,302,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p245,existing-child placement-only gap sweep,0.245,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p245/clean.gds,2.055,1.8875,False,299,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p28,existing-child placement-only gap sweep,0.28,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p28/clean.gds,2.09,1.8875,False,302,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLA_gap_sweep_0p315,existing-child placement-only gap sweep,0.315,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLA_gap_sweep_0p315/clean.gds,2.125,1.8875,False,302,False,False,Real GDS generated; not formal because inherited parent routing/power is absent and DRC did not close.
WLC_flattened_exact_topology_full_cell,flattened exact PNAND2->INV full-cell geometry,0.35,outputs/PROJECT_same_freepdk45_real_cell_experiments/WL_DRIVER/WLC_flattened_exact_topology_full_cell/clean.gds,2.16,1.8875,False,249,False,False,Real flattened exact-topology full-cell GDS; DRC-tested but not formal unless marker count is zero. Current result does not meet height target.
