route_object_id,net_name,intended_hierarchical_net,layer,bbox,role,shape_kind,bbox_is_exact_geometry
CLK:dff.CLK:m1_landing,CLK,TOP::CLK,m1,"[6.6075, 2.0175, 6.7425, 2.1525]",pin_access_landing,axis_aligned_rectangle,True
CLK:TOP:m1_pin,CLK,TOP::CLK,m1,"[16.965, 4.535, 17.165, 4.67]",top_pin,axis_aligned_rectangle,True
CLK:TRACK:m1,CLK,TOP::CLK,m1,"[6.675, 4.57, 17.165, 4.635]",horizontal_track,axis_aligned_rectangle,True
CLK:dff.CLK:via_pin,CLK,TOP::CLK,via1,"[6.6425, 2.0525, 6.7075, 2.1175]",pin_access_via,axis_aligned_rectangle,True
CLK:dff.CLK:m2_landing,CLK,TOP::CLK,m2,"[6.6075, 2.0175, 6.7425, 2.1525]",pin_access_m2_landing,axis_aligned_rectangle,True
CLK:dff.CLK:m2_escape,CLK,TOP::CLK,m2,"[6.64, 2.1525, 6.71, 4.535]",vertical_escape,axis_aligned_rectangle,True
CLK:dff.CLK:track_drop_m1,CLK,TOP::CLK,m1,"[6.6075, 4.535, 6.7425, 4.67]",track_drop_m1_landing,axis_aligned_rectangle,True
CLK:dff.CLK:track_drop_via,CLK,TOP::CLK,via1,"[6.6425, 4.57, 6.7075, 4.635]",track_drop_via,axis_aligned_rectangle,True
CLK:dff.CLK:track_drop_m2,CLK,TOP::CLK,m2,"[6.6075, 4.535, 6.7425, 4.67]",track_drop_m2_landing,axis_aligned_rectangle,True
D:dff.D:m1_landing,D,TOP::D,m1,"[0.2225, 2.4375, 0.3575, 2.5725]",pin_access_landing,axis_aligned_rectangle,True
D:TOP:m1_pin,D,TOP::D,m1,"[-0.45, 4.745, -0.25, 4.88]",top_pin,axis_aligned_rectangle,True
D:TRACK:m1,D,TOP::D,m1,"[-0.45, 4.78, 16.715, 4.845]",horizontal_track,axis_aligned_rectangle,True
D:dff.D:via_pin,D,TOP::D,via1,"[0.2575, 2.4725, 0.3225, 2.5375]",pin_access_via,axis_aligned_rectangle,True
D:dff.D:m2_landing,D,TOP::D,m2,"[0.2225, 2.4375, 0.3575, 2.5725]",pin_access_m2_landing,axis_aligned_rectangle,True
D:dff.D:m2_escape,D,TOP::D,m2,"[0.255, 2.5725, 0.325, 4.745]",vertical_escape,axis_aligned_rectangle,True
D:dff.D:track_drop_m1,D,TOP::D,m1,"[0.2225, 4.745, 0.3575, 4.88]",track_drop_m1_landing,axis_aligned_rectangle,True
D:dff.D:track_drop_via,D,TOP::D,via1,"[0.2575, 4.78, 0.3225, 4.845]",track_drop_via,axis_aligned_rectangle,True
D:dff.D:track_drop_m2,D,TOP::D,m2,"[0.2225, 4.745, 0.3575, 4.88]",track_drop_m2_landing,axis_aligned_rectangle,True
qint:dff.Q:m1_landing,qint,PARENT::qint,m1,"[12.995, 3.9075, 13.13, 4.0425]",pin_access_landing,axis_aligned_rectangle,True
qint:inv1.A:m1_landing,qint,PARENT::qint,m1,"[14.0225, 0.785, 14.1575, 0.92]",pin_access_landing,axis_aligned_rectangle,True
qint:inv1.A:m1_escape,qint,PARENT::qint,m1,"[14.09, 0.785, 14.3575, 0.92]",pin_access_escape,axis_aligned_rectangle,True
qint:TRACK:m1,qint,PARENT::qint,m1,"[13.0625, 4.99, 16.715, 5.055]",horizontal_track,axis_aligned_rectangle,True
qint:dff.Q:via_pin,qint,PARENT::qint,via1,"[13.03, 3.9425, 13.095, 4.0075]",pin_access_via,axis_aligned_rectangle,True
qint:dff.Q:m2_landing,qint,PARENT::qint,m2,"[12.995, 3.9075, 13.13, 4.0425]",pin_access_m2_landing,axis_aligned_rectangle,True
qint:dff.Q:m2_escape,qint,PARENT::qint,m2,"[13.0275, 4.0425, 13.0975, 4.955]",vertical_escape,axis_aligned_rectangle,True
qint:dff.Q:track_drop_m1,qint,PARENT::qint,m1,"[12.995, 4.955, 13.13, 5.09]",track_drop_m1_landing,axis_aligned_rectangle,True
qint:dff.Q:track_drop_via,qint,PARENT::qint,via1,"[13.03, 4.99, 13.095, 5.055]",track_drop_via,axis_aligned_rectangle,True
qint:dff.Q:track_drop_m2,qint,PARENT::qint,m2,"[12.995, 4.955, 13.13, 5.09]",track_drop_m2_landing,axis_aligned_rectangle,True
qint:inv1.A:via_pin,qint,PARENT::qint,via1,"[14.0575, 0.82, 14.1225, 0.885]",pin_access_via,axis_aligned_rectangle,True
qint:inv1.A:m2_landing,qint,PARENT::qint,m2,"[14.0225, 0.785, 14.1575, 0.92]",pin_access_m2_landing,axis_aligned_rectangle,True
qint:inv1.A:m2_escape,qint,PARENT::qint,m2,"[14.055, 0.92, 14.125, 4.955]",vertical_escape,axis_aligned_rectangle,True
qint:inv1.A:track_drop_m1,qint,PARENT::qint,m1,"[14.0225, 4.955, 14.1575, 5.09]",track_drop_m1_landing,axis_aligned_rectangle,True
qint:inv1.A:track_drop_via,qint,PARENT::qint,via1,"[14.0575, 4.99, 14.1225, 5.055]",track_drop_via,axis_aligned_rectangle,True
qint:inv1.A:track_drop_m2,qint,PARENT::qint,m2,"[14.0225, 4.955, 14.1575, 5.09]",track_drop_m2_landing,axis_aligned_rectangle,True
QB:inv1.Z:m1_landing,QB,TOP::QB,m1,"[14.62, 0.785, 14.755, 0.92]",pin_access_landing,axis_aligned_rectangle,True
QB:inv1.Z:m1_escape,QB,TOP::QB,m1,"[14.49, 0.785, 14.6875, 0.92]",pin_access_escape,axis_aligned_rectangle,True
QB:inv2.A:m1_landing,QB,TOP::QB,m1,"[15.17, 0.785, 15.305, 0.92]",pin_access_landing,axis_aligned_rectangle,True
QB:inv2.A:m1_escape,QB,TOP::QB,m1,"[15.2375, 0.785, 15.505, 0.92]",pin_access_escape,axis_aligned_rectangle,True
QB:TOP:m1_pin,QB,TOP::QB,m1,"[17.315, 5.165, 17.515, 5.3]",top_pin,axis_aligned_rectangle,True
QB:TRACK:m1,QB,TOP::QB,m1,"[14.6875, 5.2, 17.515, 5.265]",horizontal_track,axis_aligned_rectangle,True
QB:inv1.Z:via_pin,QB,TOP::QB,via1,"[14.655, 0.82, 14.72, 0.885]",pin_access_via,axis_aligned_rectangle,True
QB:inv1.Z:m2_landing,QB,TOP::QB,m2,"[14.62, 0.785, 14.755, 0.92]",pin_access_m2_landing,axis_aligned_rectangle,True
QB:inv1.Z:m2_escape,QB,TOP::QB,m2,"[14.6525, 0.92, 14.7225, 5.165]",vertical_escape,axis_aligned_rectangle,True
QB:inv1.Z:track_drop_m1,QB,TOP::QB,m1,"[14.62, 5.165, 14.755, 5.3]",track_drop_m1_landing,axis_aligned_rectangle,True
QB:inv1.Z:track_drop_via,QB,TOP::QB,via1,"[14.655, 5.2, 14.72, 5.265]",track_drop_via,axis_aligned_rectangle,True
QB:inv1.Z:track_drop_m2,QB,TOP::QB,m2,"[14.62, 5.165, 14.755, 5.3]",track_drop_m2_landing,axis_aligned_rectangle,True
QB:inv2.A:via_pin,QB,TOP::QB,via1,"[15.205, 0.82, 15.27, 0.885]",pin_access_via,axis_aligned_rectangle,True
QB:inv2.A:m2_landing,QB,TOP::QB,m2,"[15.17, 0.785, 15.305, 0.92]",pin_access_m2_landing,axis_aligned_rectangle,True
QB:inv2.A:m2_escape,QB,TOP::QB,m2,"[15.2025, 0.92, 15.2725, 5.165]",vertical_escape,axis_aligned_rectangle,True
QB:inv2.A:track_drop_m1,QB,TOP::QB,m1,"[15.17, 5.165, 15.305, 5.3]",track_drop_m1_landing,axis_aligned_rectangle,True
QB:inv2.A:track_drop_via,QB,TOP::QB,via1,"[15.205, 5.2, 15.27, 5.265]",track_drop_via,axis_aligned_rectangle,True
QB:inv2.A:track_drop_m2,QB,TOP::QB,m2,"[15.17, 5.165, 15.305, 5.3]",track_drop_m2_landing,axis_aligned_rectangle,True
Q:inv2.Z:m1_landing,Q,TOP::Q,m1,"[15.7975, 0.785, 15.9325, 0.92]",pin_access_landing,axis_aligned_rectangle,True
Q:inv2.Z:m1_escape,Q,TOP::Q,m1,"[15.6675, 0.785, 15.865, 0.92]",pin_access_escape,axis_aligned_rectangle,True
Q:TOP:m1_pin,Q,TOP::Q,m1,"[17.665, 5.375, 17.865, 5.51]",top_pin,axis_aligned_rectangle,True
Q:TRACK:m1,Q,TOP::Q,m1,"[15.865, 5.41, 17.865, 5.475]",horizontal_track,axis_aligned_rectangle,True
Q:inv2.Z:via_pin,Q,TOP::Q,via1,"[15.8325, 0.82, 15.8975, 0.885]",pin_access_via,axis_aligned_rectangle,True
Q:inv2.Z:m2_landing,Q,TOP::Q,m2,"[15.7975, 0.785, 15.9325, 0.92]",pin_access_m2_landing,axis_aligned_rectangle,True
