net_name,net_category,power_group,source_node,target_node,source_pin_status,target_pin_status,shape_type,shape_bbox,shape_id,gds_layer,gds_datatype,power_status,uses_synthesized_pin_access,is_geometry_power,shape_verified_in_gds,guide_only,blocking_reason,next_required_action
VDD,VDD,TOP_STRAP,vdd_strap,vdd_strap,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,TOP_VDD_STRAP,"{'x0': 2.5375, 'y0': 31.27, 'x1': 57.7525, 'y1': 31.77, 'width': 55.215, 'height': 0.5}",POWER_SHAPE_0001,41,0,GEOMETRY_POWER_STRAP,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,TOP_STRAP,gnd_strap,gnd_strap,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,TOP_GND_STRAP,"{'x0': 2.5375, 'y0': 0.725, 'x1': 57.7525, 'y1': 1.225, 'width': 55.215, 'height': 0.5}",POWER_SHAPE_0002,42,0,GEOMETRY_POWER_STRAP,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,ARRAY_REGION,vdd_strap,array_vdd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,ARRAY_VDD_RAIL,"{'x0': 13.62, 'y0': 20.7524, 'x1': 24.17, 'y1': 20.9324, 'width': 10.55, 'height': 0.18}",POWER_SHAPE_0003,41,0,GEOMETRY_POWER_RAIL,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,ARRAY_REGION,gnd_strap,array_gnd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,ARRAY_GND_RAIL,"{'x0': 13.62, 'y0': 13.3276, 'x1': 24.17, 'y1': 13.5076, 'width': 10.55, 'height': 0.18}",POWER_SHAPE_0004,42,0,GEOMETRY_POWER_RAIL,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,ARRAY_STRAP_STITCH,vdd_strap,array_vdd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,ARRAY_VDD_STRAP_STITCH,"{'x0': 18.845, 'y0': 20.7524, 'x1': 18.945, 'y1': 31.27, 'width': 0.1, 'height': 10.5176}",POWER_SHAPE_0005,41,0,GEOMETRY_POWER_GRAPH_CONNECTED,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,ARRAY_STRAP_STITCH,gnd_strap,array_gnd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,ARRAY_GND_STRAP_STITCH,"{'x0': 18.845, 'y0': 1.225, 'x1': 18.945, 'y1': 13.5076, 'width': 0.1, 'height': 12.2826}",POWER_SHAPE_0006,42,0,GEOMETRY_POWER_GRAPH_CONNECTED,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,ROW_REGION,vdd_strap,row_vdd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,ROW_VDD_RAIL,"{'x0': 7.5375, 'y0': 25.7385, 'x1': 12.82, 'y1': 25.9185, 'width': 5.2825, 'height': 0.18}",POWER_SHAPE_0007,41,0,GEOMETRY_POWER_RAIL,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,ROW_REGION,gnd_strap,row_gnd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,ROW_GND_RAIL,"{'x0': 7.5375, 'y0': 8.3415, 'x1': 12.82, 'y1': 8.5215, 'width': 5.2825, 'height': 0.18}",POWER_SHAPE_0008,42,0,GEOMETRY_POWER_RAIL,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,ROW_STRAP_STITCH,vdd_strap,row_vdd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,ROW_VDD_STRAP_STITCH,"{'x0': 10.12875, 'y0': 25.7385, 'x1': 10.22875, 'y1': 31.27, 'width': 0.1, 'height': 5.5315}",POWER_SHAPE_0009,41,0,GEOMETRY_POWER_GRAPH_CONNECTED,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,ROW_STRAP_STITCH,gnd_strap,row_gnd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,ROW_GND_STRAP_STITCH,"{'x0': 10.12875, 'y0': 1.225, 'x1': 10.22875, 'y1': 8.5215, 'width': 0.1, 'height': 7.2965}",POWER_SHAPE_0010,42,0,GEOMETRY_POWER_GRAPH_CONNECTED,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,COLUMN_REGION,vdd_strap,column_vdd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,COLUMN_VDD_RAIL,"{'x0': 16.68125, 'y0': 26.8299, 'x1': 22.89875, 'y1': 27.0099, 'width': 6.2175, 'height': 0.18}",POWER_SHAPE_0011,41,0,GEOMETRY_POWER_RAIL,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,COLUMN_REGION,gnd_strap,column_gnd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,COLUMN_GND_RAIL,"{'x0': 16.68125, 'y0': 21.1201, 'x1': 22.89875, 'y1': 21.3001, 'width': 6.2175, 'height': 0.18}",POWER_SHAPE_0012,42,0,GEOMETRY_POWER_RAIL,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
VDD,VDD,COLUMN_STRAP_STITCH,vdd_strap,column_vdd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,COLUMN_VDD_STRAP_STITCH,"{'x0': 19.74, 'y0': 26.8299, 'x1': 19.84, 'y1': 31.27, 'width': 0.1, 'height': 4.4401}",POWER_SHAPE_0013,41,0,GEOMETRY_POWER_GRAPH_CONNECTED,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
GND,GND,COLUMN_STRAP_STITCH,gnd_strap,column_gnd_rail,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_RAIL,COLUMN_GND_STRAP_STITCH,"{'x0': 19.74, 'y0': 1.225, 'x1': 19.84, 'y1': 21.3001, 'width': 0.1, 'height': 20.0751}",POWER_SHAPE_0014,42,0,GEOMETRY_POWER_GRAPH_CONNECTED,False,True,True,False,,Carry this power geometry into C6 validation without reverting to contract rail stitch.
