power_shape_id,net_name,power_group,gds_layer,gds_datatype,shape_type,shape_bbox,shape_center,source_report,is_real_power_shape,is_guide_geometry,is_placeholder_overlay,verified_in_gds
POWER_SHAPE_0001,VDD,TOP_STRAP,41,0,TOP_VDD_STRAP,"{'x0': 2.5375, 'y0': 31.27, 'x1': 57.7525, 'y1': 31.77, 'width': 55.215, 'height': 0.5}","{'x': 30.145, 'y': 31.52}",TOP_STRAP,True,False,False,True
POWER_SHAPE_0002,GND,TOP_STRAP,42,0,TOP_GND_STRAP,"{'x0': 2.5375, 'y0': 0.725, 'x1': 57.7525, 'y1': 1.225, 'width': 55.215, 'height': 0.5}","{'x': 30.145, 'y': 0.975}",TOP_STRAP,True,False,False,True
POWER_SHAPE_0003,VDD,ARRAY_REGION,41,0,ARRAY_VDD_RAIL,"{'x0': 13.62, 'y0': 20.7524, 'x1': 24.17, 'y1': 20.9324, 'width': 10.55, 'height': 0.18}","{'x': 18.895, 'y': 20.8424}",ARRAY_REGION,True,False,False,True
POWER_SHAPE_0004,GND,ARRAY_REGION,42,0,ARRAY_GND_RAIL,"{'x0': 13.62, 'y0': 13.3276, 'x1': 24.17, 'y1': 13.5076, 'width': 10.55, 'height': 0.18}","{'x': 18.895, 'y': 13.4176}",ARRAY_REGION,True,False,False,True
POWER_SHAPE_0005,VDD,ARRAY_STRAP_STITCH,41,0,ARRAY_VDD_STRAP_STITCH,"{'x0': 18.845, 'y0': 20.7524, 'x1': 18.945, 'y1': 31.27, 'width': 0.1, 'height': 10.5176}","{'x': 18.895, 'y': 26.0112}",ARRAY_STRAP_STITCH,True,False,False,True
POWER_SHAPE_0006,GND,ARRAY_STRAP_STITCH,42,0,ARRAY_GND_STRAP_STITCH,"{'x0': 18.845, 'y0': 1.225, 'x1': 18.945, 'y1': 13.5076, 'width': 0.1, 'height': 12.2826}","{'x': 18.895, 'y': 7.3663}",ARRAY_STRAP_STITCH,True,False,False,True
POWER_SHAPE_0007,VDD,ROW_REGION,41,0,ROW_VDD_RAIL,"{'x0': 7.5375, 'y0': 25.7385, 'x1': 12.82, 'y1': 25.9185, 'width': 5.2825, 'height': 0.18}","{'x': 10.17875, 'y': 25.8285}",ROW_REGION,True,False,False,True
POWER_SHAPE_0008,GND,ROW_REGION,42,0,ROW_GND_RAIL,"{'x0': 7.5375, 'y0': 8.3415, 'x1': 12.82, 'y1': 8.5215, 'width': 5.2825, 'height': 0.18}","{'x': 10.17875, 'y': 8.4315}",ROW_REGION,True,False,False,True
POWER_SHAPE_0009,VDD,ROW_STRAP_STITCH,41,0,ROW_VDD_STRAP_STITCH,"{'x0': 10.12875, 'y0': 25.7385, 'x1': 10.22875, 'y1': 31.27, 'width': 0.1, 'height': 5.5315}","{'x': 10.17875, 'y': 28.50425}",ROW_STRAP_STITCH,True,False,False,True
POWER_SHAPE_0010,GND,ROW_STRAP_STITCH,42,0,ROW_GND_STRAP_STITCH,"{'x0': 10.12875, 'y0': 1.225, 'x1': 10.22875, 'y1': 8.5215, 'width': 0.1, 'height': 7.2965}","{'x': 10.17875, 'y': 4.87325}",ROW_STRAP_STITCH,True,False,False,True
