route_shape_id,net_name,net_category,gds_layer,gds_datatype,shape_type,shape_bbox,shape_center,source_report,is_real_signal_route,is_guide_geometry,is_placeholder_overlay,verified_in_gds
SHAPE_0001,WL[0],WORDLINE,31,0,WL_MANHATTAN_ROUTE,"{'x0': 9.352, 'y0': 14.6525, 'x1': 18.04, 'y1': 21.203, 'width': 8.688, 'height': 6.5505}","{'x': 13.696, 'y': 17.92775}",WORDLINE,True,False,False,True
SHAPE_0002,WL[1],WORDLINE,31,0,WL_MANHATTAN_ROUTE,"{'x0': 9.352, 'y0': 14.6525, 'x1': 18.04, 'y1': 21.203, 'width': 8.688, 'height': 6.5505}","{'x': 13.696, 'y': 17.92775}",WORDLINE,True,False,False,True
SHAPE_0003,WL[2],WORDLINE,31,0,WL_MANHATTAN_ROUTE,"{'x0': 9.352, 'y0': 14.6525, 'x1': 18.04, 'y1': 21.203, 'width': 8.688, 'height': 6.5505}","{'x': 13.696, 'y': 17.92775}",WORDLINE,True,False,False,True
SHAPE_0004,WL[3],WORDLINE,31,0,WL_MANHATTAN_ROUTE,"{'x0': 9.352, 'y0': 14.6525, 'x1': 18.04, 'y1': 21.203, 'width': 8.688, 'height': 6.5505}","{'x': 13.696, 'y': 17.92775}",WORDLINE,True,False,False,True
SHAPE_0005,BL[0],BITLINE,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 16.86125, 'y0': 13.961, 'x1': 18.1445, 'y1': 21.77, 'width': 1.28325, 'height': 7.809}","{'x': 17.502875, 'y': 17.8655}",BITLINE,True,False,False,True
SHAPE_0006,BR[0],BITLINE_BAR,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 17.28625, 'y0': 13.957, 'x1': 18.481, 'y1': 21.77, 'width': 1.19475, 'height': 7.813}","{'x': 17.883625, 'y': 17.8635}",BITLINE_BAR,True,False,False,True
SHAPE_0007,BL[0],BITLINE,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 18.1445, 'y0': 13.961, 'x1': 18.68125, 'y1': 22.83, 'width': 0.53675, 'height': 8.869}","{'x': 18.412875, 'y': 18.3955}",BITLINE,True,False,False,True
SHAPE_0008,BR[0],BITLINE_BAR,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 18.481, 'y0': 13.957, 'x1': 19.10625, 'y1': 22.83, 'width': 0.62525, 'height': 8.873}","{'x': 18.793625, 'y': 18.3935}",BITLINE_BAR,True,False,False,True
SHAPE_0009,BL[0],BITLINE,33,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 18.60125, 'y0': 21.09, 'x1': 20.50875, 'y1': 24.105, 'width': 1.9075, 'height': 3.015}","{'x': 19.555, 'y': 22.5975}",BITLINE,True,False,False,True
SHAPE_0010,BR[0],BITLINE_BAR,33,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 19.02625, 'y0': 21.09, 'x1': 20.84375, 'y1': 24.105, 'width': 1.8175, 'height': 3.015}","{'x': 19.935, 'y': 22.5975}",BITLINE_BAR,True,False,False,True
SHAPE_0011,BL[0],BITLINE,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 18.2245, 'y0': 13.961, 'x1': 22.20375, 'y1': 25.125, 'width': 3.97925, 'height': 11.164}","{'x': 20.214125, 'y': 19.543}",BITLINE,True,False,False,True
SHAPE_0012,BR[0],BITLINE_BAR,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 18.561, 'y0': 13.957, 'x1': 22.53875, 'y1': 24.055, 'width': 3.97775, 'height': 10.098}","{'x': 20.549875, 'y': 19.006}",BITLINE_BAR,True,False,False,True
SHAPE_0013,BL[1],BITLINE,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 16.86125, 'y0': 13.961, 'x1': 18.1445, 'y1': 21.77, 'width': 1.28325, 'height': 7.809}","{'x': 17.502875, 'y': 17.8655}",BITLINE,True,False,False,True
SHAPE_0014,BR[1],BITLINE_BAR,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 17.28625, 'y0': 13.957, 'x1': 18.481, 'y1': 21.77, 'width': 1.19475, 'height': 7.813}","{'x': 17.883625, 'y': 17.8635}",BITLINE_BAR,True,False,False,True
SHAPE_0015,BL[1],BITLINE,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 18.1445, 'y0': 13.961, 'x1': 18.68125, 'y1': 22.83, 'width': 0.53675, 'height': 8.869}","{'x': 18.412875, 'y': 18.3955}",BITLINE,True,False,False,True
SHAPE_0016,BR[1],BITLINE_BAR,32,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 18.481, 'y0': 13.957, 'x1': 19.10625, 'y1': 22.83, 'width': 0.62525, 'height': 8.873}","{'x': 18.793625, 'y': 18.3935}",BITLINE_BAR,True,False,False,True
SHAPE_0017,BL[1],BITLINE,33,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 18.60125, 'y0': 21.09, 'x1': 20.50875, 'y1': 24.105, 'width': 1.9075, 'height': 3.015}","{'x': 19.555, 'y': 22.5975}",BITLINE,True,False,False,True
SHAPE_0018,BR[1],BITLINE_BAR,33,0,BITLINE_MANHATTAN_ROUTE,"{'x0': 19.02625, 'y0': 21.09, 'x1': 20.84375, 'y1': 24.105, 'width': 1.8175, 'height': 3.015}","{'x': 19.935, 'y': 22.5975}",BITLINE_BAR,True,False,False,True
