module_name,physical_role,path_group,source_openyield_semantics,source_existing_gds,source_existing_metadata,uses_candidate_geometry,uses_contract_pins,requires_row_pitch_alignment,requires_column_pitch_alignment,requires_power_stitching,requires_top_level_routing,required_by_structure_complete_gds,current_readiness_for_R3,current_readiness_for_R4,blocking_gap,next_required_action
bitcell_array,ARRAY_CORE,ARRAY_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/bitcell_array.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/generator_manifest.json,False,True,True,True,True,True,True,GEOMETRY_AND_METADATA_AVAILABLE_AS_REFERENCE,REQUIRES_REAL_TOP_LEVEL_ROUTING_AND_POWER_STITCH,"Array dimensions are deterministic L3 standalone templates, not final top-level SRAM array sizing.",Use this role in R2/R3 generator decomposition and preserve current metadata as reference only.
dummy_array,ARRAY_DUMMY,ARRAY_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/dummy_array.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/generator_manifest.json,False,True,True,True,True,False,True,GEOMETRY_AND_METADATA_AVAILABLE_AS_REFERENCE,REQUIRES_REAL_TOP_LEVEL_ROUTING_AND_POWER_STITCH,"Array dimensions are deterministic L3 standalone templates, not final top-level SRAM array sizing.",Use this role in R2/R3 generator decomposition and preserve current metadata as reference only.
replica_array,ARRAY_REPLICA,ARRAY_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/replica_array.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/generator_manifest.json,False,True,True,True,True,True,True,GEOMETRY_AND_METADATA_AVAILABLE_AS_REFERENCE,REQUIRES_REAL_TOP_LEVEL_ROUTING_AND_POWER_STITCH,"Array dimensions are deterministic L3 standalone templates, not final top-level SRAM array sizing.",Use this role in R2/R3 generator decomposition and preserve current metadata as reference only.
row_decoder,ROW_DECODER,ROW_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/row_decoder.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/generator_manifest.json,True,True,True,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
wordline_decoder,ROW_DECODER,ROW_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/wordline_decoder.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/generator_manifest.json,True,True,True,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
decoder_gate_cells,ROW_DECODER,ROW_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/generator_manifest.json,True,True,True,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
wordline_driver,WORDLINE_DRIVER,ROW_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/generator_manifest.json,False,False,True,False,True,True,True,GEOMETRY_AND_METADATA_AVAILABLE_AS_REFERENCE,REQUIRES_REAL_TOP_LEVEL_ROUTING_AND_POWER_STITCH,,Bind this module to address-width and row-pitch expectations in R3/R4.
wordline_driver_gate_cells,WORDLINE_DRIVER,ROW_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generator_manifest.json,True,True,True,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
column_mux,COLUMN_MUX,COLUMN_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/column_mux.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/generator_manifest.json,False,False,False,True,True,True,True,GEOMETRY_AND_METADATA_AVAILABLE_AS_REFERENCE,REQUIRES_REAL_TOP_LEVEL_ROUTING_AND_POWER_STITCH,,Bind this module to array column pitch and BL/BR routing expectations in R3/R4.
sense_amp,SENSE_AMP,COLUMN_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/sense_amp.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/generator_manifest.json,False,False,False,True,True,True,True,GEOMETRY_AND_METADATA_AVAILABLE_AS_REFERENCE,REQUIRES_REAL_TOP_LEVEL_ROUTING_AND_POWER_STITCH,,Bind this module to array column pitch and BL/BR routing expectations in R3/R4.
write_driver,WRITE_DRIVER,COLUMN_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/write_driver.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/generator_manifest.json,False,False,False,True,True,True,True,GEOMETRY_AND_METADATA_AVAILABLE_AS_REFERENCE,REQUIRES_REAL_TOP_LEVEL_ROUTING_AND_POWER_STITCH,,Bind this module to array column pitch and BL/BR routing expectations in R3/R4.
precharge,COLUMN_PRECHARGE,COLUMN_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/precharge.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/generator_manifest.json,False,True,False,True,True,True,True,GEOMETRY_AND_METADATA_AVAILABLE_AS_REFERENCE,REQUIRES_REAL_TOP_LEVEL_ROUTING_AND_POWER_STITCH,Boundary pins are exported through the L2/L3 contract instead of direct module-boundary geometry extraction.; precharge pin export remains contract-backed at the module wrapper boundary and needs L4/L5 verification.,Bind this module to array column pitch and BL/BR routing expectations in R3/R4.
DELAY_CHAIN,DELAY_CHAIN,CONTROL_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/generator_manifest.json,True,True,False,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
PRECHARGE_ENABLE_PATH,ENABLE_PATH,CONTROL_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/generator_manifest.json,True,True,False,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
SENSE_ENABLE_PATH,ENABLE_PATH,CONTROL_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/generator_manifest.json,True,True,False,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
WRITE_ENABLE_PATH,ENABLE_PATH,CONTROL_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/WRITE_ENABLE_PATH.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/generator_manifest.json,True,True,False,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
WORDLINE_ENABLE_PATH,ENABLE_PATH,CONTROL_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/generator_manifest.json,True,True,False,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
GATED_CLOCK_PATH,CLOCK_PATH,CONTROL_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/generator_manifest.json,True,True,False,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
DFF_ROW,DFF_ROW,CONTROL_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generator_manifest.json,True,True,False,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
CONTROL_LOGIC,CONTROL_LOGIC,CONTROL_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/generator_manifest.json,True,True,False,False,True,True,True,READY_WITH_SEMANTIC_ROLE_BUT_REQUIRES_REAL_GENERATOR,REQUIRES_ROUTER_AFTER_REAL_GENERATOR,Current module is candidate geometry only; cannot be treated as final physical generator output.,Replace candidate geometry with R3/R4 generator-owned physical construction while preserving contract pins.
