openyield_module_name,layout_instance_name,physical_role,region,source_gds,placed_bbox,r4_routing_participation,r4_power_participation,r4_pin_participation,net_mapping_available,future_lvs_mapping_required
bitcell_array,bitcell_array_inst,ARRAY_CORE,ARRAY_CORE_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/bitcell_array.gds,"{'x0': 12.0, 'y0': 8.0, 'x1': 15.58, 'y1': 14.26, 'width': 3.58, 'height': 6.26}",True,True,True,True,True
dummy_array,dummy_array_inst,ARRAY_DUMMY,ARRAY_DUMMY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/dummy_array.gds,"{'x0': 7.24625, 'y0': 8.0, 'x1': 10.82625, 'y1': 14.26, 'width': 3.58, 'height': 6.26}",False,True,True,True,True
replica_array,replica_array_inst,ARRAY_REPLICA,ARRAY_REPLICA_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/replica_array.gds,"{'x0': 12.0, 'y0': 23.00875, 'x1': 13.79, 'y1': 30.68875, 'width': 1.79, 'height': 7.68}",True,True,True,True,True
row_decoder,row_decoder_inst,ROW_DECODER,ROW_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/row_decoder.gds,"{'x0': 0.79, 'y0': 8.0, 'x1': 5.035, 'y1': 11.13, 'width': 4.245, 'height': 3.13}",True,True,True,True,True
wordline_decoder,wordline_decoder_inst,ROW_DECODER,ROW_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/wordline_decoder.gds,"{'x0': 0.79, 'y0': 11.13, 'x1': 5.035, 'y1': 14.175, 'width': 4.245, 'height': 3.045}",True,True,True,True,True
decoder_gate_cells,decoder_gate_cells_inst,ROW_DECODER,ROW_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,"{'x0': 0.79, 'y0': 14.26, 'x1': 6.0725, 'y1': 17.305, 'width': 5.2825, 'height': 3.045}",True,True,True,True,True
wordline_driver,wordline_driver_inst,WORDLINE_DRIVER,ROW_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,"{'x0': 0.79, 'y0': 17.39, 'x1': 3.835, 'y1': 18.895, 'width': 3.045, 'height': 1.505}",True,True,True,True,True
wordline_driver_gate_cells,wordline_driver_gate_cells_inst,WORDLINE_DRIVER,ROW_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,"{'x0': 0.79, 'y0': 20.52, 'x1': 3.6875, 'y1': 23.48, 'width': 2.8975, 'height': 2.96}",True,True,True,True,True
precharge,precharge_inst,COLUMN_PRECHARGE,COLUMN_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/precharge.gds,"{'x0': 12.0, 'y0': 15.825, 'x1': 12.785, 'y1': 17.245, 'width': 0.785, 'height': 1.42}",True,True,True,True,True
column_mux,column_mux_inst,COLUMN_MUX,COLUMN_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/column_mux.gds,"{'x0': 12.895, 'y0': 15.825, 'x1': 13.7125, 'y1': 17.705, 'width': 0.8175, 'height': 1.88}",True,True,True,True,True
